Course,Credits,Semester_Number
AGBM 170|| RSOC  11||||SOC  1†,3,1
ENGL 15||  30H||||ESL  15‡†,3,2
MATH 110|| 140‡#†,4,1
AGBM 106*,3,2
AGBM 101||ECON  102*,3,1
ACCTG 211,4,2
AGBM 102*,3,1
General Education Course (Exploration),3,2
AGSC 100,1,1
General Education Course (GN),3,2
AGBM 338 (IL),3,3
AGBM 302*,3,4
SCM 200||STAT  200‡†,4,3
ECON 104†,3,4
General Education Course (Exploration),3,3
General Education Course (GH),3,4
Writing/Speaking (GWS),3,3
Elective,3,4
Supporting Course1,3,3
Supporting Course1,3,4
AGBM 320*,3,5
AGBM 308W*,3,6
MKTG 301,3,5
FIN 301,3,6
IST 110|| MIS  204|| MIS  250||||SRA  111 (Information Systems),3,5
MGMT 301,3,6
ENGL 202D‡†,3,5
Supporting Course (300 - 400 level)1,3,6
General Education Course (GA),3,5
General Education Course (GN- No Interdomain),3,6
AGBM 400-level (excluding AGBM 495A|| AGBM 495B|| AGBM 496),3,7
AGBM 400-level (excluding AGBM 495A|| AGBM 495B|| AGBM 496),3,8
Integrative Studies Course,3,7
AGBM 407|| 408,3,8
BA 243|| BLAW  243|| BA  342||||BLAW  341,3-4,7
General Education Course (GHW),1.5,8
SCM 301,3,7
Supporting Course (300-400 level)1,3,8
General Education Course (GHW),1.5,7
Elective,2,8
