Course,Credits,Semester_Number
ENGL 15||  30H||||ESL  15‡#†,3.0,1
BIOL 220W||  230W|||| 240W,4.0,2
General Education Course (GQ - MATH 21 recommended)‡#†,3.0,1
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡†,3.0,2
BIOL 110#†,4.0,1
EDTHP 115*#,3.0,2
AG 150,2.0,1
SOILS 101,3.0,2
AEE 100#,3.0,1
General Education Course (GHW),1.5,2
General Education Course (Literature Selection)#,3.0,1
General Education Course,3.0,2
CHEM 130#,3.0,3
ENGL 202C‡†,3.0,4
AGRO 28,3.0,3
STAT 200‡#†,4.0,4
AGBM 101†,3.0,3
Environmental Learning Course1,3.0,4
EDPSY 14*#,3.0,3
Social|| Legal|| Political Aspects1,3.0,4
Environmental Learning Course1,3.0,3
General Education Course (GHW),1.5,4
WFED 413,3.0,5
ANSC 201,4.0,6
AEE 311,3.0,5
INTAG 100N†,3.0,6
College Writing Across the Curriculum Course1,3.0,5
WFED 414,3.0,6
Environmental Impact Management1,3.0,5
AEE 295*,1.0,6
General Education Course,3.0,5
AEE 349,3.0,6
General Education Course,3.0,5
Environmental Impact Management1,3.0,6
AEE 412*,4.0,7
AEE 313*,2.0,8
AEE 413*,3.0,7
AEE 495,10.0,8
