Course,Credits,Semester_Number
ANTH 45N|| 21*,3.0,1
ANTH 21*,3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
ANTH 2N*,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course (GWS)‡,3.0,1
General Education Course,3.0,2
General Education Course||First-Year Seminar,3.0,1
General Education Course (GWS)‡,3.0,2
ANTH Survey Course (200-Level&&Below)*,3.0,3
ANTH Survey Course (200-Level&&Below)*,3.0,4
World Language Level 3,4.0,3
STAT 200 (GQ)*‡†,4.0,4
General Education Course,3.0,3
ANTH Methods Course*1,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
Elective,3.0,3
Elective,3.0,4
ANTH Methods Course (ANTH 426W||ANTH 427W)*1,3.0,5
ANTH (400-Level)*,3.0,6
ANTH (400-Level)*,3.0,5
BA Fields,3.0,6
General Education Course (GWS)‡,3.0,5
General Education Course,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
ANTH (400-Level)*,3.0,7
ANTH (400-Level)*,3.0,8
BA Fields,3.0,7
BA Fields,3.0,8
General Education Course,3.0,7
General Education Course (GHW),1.5,8
General Education Course (GHW),1.5,7
Elective,3.0,8
Elective,3.0,7
Elective/World Cultures,3.0,8
