Course,Credits,Semester_Number
ARTH 1S (Art History Support Elective/FYS)*3,3,1
Additional Course*1,3,2
Additional Course*1,3,1
Foreign Language,4,2
ENGL 15||  15A|||| 30H‡,3,1
General Education Course,3,2
Foreign Language,4,1
General Education Course,3,2
GQǂ,3,1
General Education Course,3,2
Additional Course*1,3,3
Support Course Geographic Area*2,3,4
Studio Art (GA)*†4,3,3
Support Course Art History Elective*3,3,4
Foreign Language,4,3
General Education Course,3,4
General Education Course,3,3
General Education Course,3,4
General Education Course,3,3
CAS 100ǂ,3,4
Support Course Geographic Area*2,3,5
ARTH 350W*,3,6
Support Course Art History Elective*3,3,5
B.A. Knowledge Domain (US),3,6
General Education Course,3,5
B.A. Knowledge Domain,3,6
GQǂ,3,5
World Cultures,3,6
B.A. Knowledge Domain (IL),3,5
Elective,3,6
Support Course Art History Elective*3,3,7
Support Course Geographic Area*2,3,8
ENGL 202ǂ,3,7
Elective,3,8
General Education Course,3,7
Elective,3,8
Elective,3,7
Elective,3,8
