Course,Credits,Semester_Number
ASTRO 20,2,1
ENGL 15||  30H||||ESL  15‡,3,2
MATH 140*‡#†,4,1
MATH 141*‡#†,4,2
CHEM 110*#†,3,1
CHEM 111†,1,2
PHYS 211*#†,4,1
CHEM 112,3,2
General Education Course,3,1
PHYS 212*#†,4,2
ASTRO 291*#,3,3
ASTRO 292*,3,4
MATH 230,4,3
MATH 251,4,4
PHYS 213*,2,3
PHYS 237,3,4
PHYS 214*,2,3
CMPSC 121||  201||||CMPSC 202†,3,4
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡,3,3
General Education Course,3,4
ASTRO 320,3,5
ASTRO 400 level selection (consult with an academic adviser for options)*,3,6
ASTRO 400 level selection (consult with an academic adviser for options)*,3,5
CMPSC 221,3,6
CMPSC 122,3,5
CMPSC 360||CMPEN  271,3,6
STAT 300||400 level selection (consult with an academic adviser for options),3,5
ENGL 202C‡†,3,6
General Education Course,3,5
General Education Course,3,6
ASTRO 400 level selection (consult with an academic adviser for options)*,3,7
ASTRO 400 level selection (consult with an academic adviser for options)*,3,8
CMPSC 451||MATH  451,3,7
CMPSC/CMPEN 400 Level selection (consult with an academic adviser for options),3,8
CMPSC 465||CMPEN  331,3,7
Supporting Course (consult with an academic adviser for options),3,8
Supporting Course (consult with an academic adviser for options),1,7
Supporting Course (consult with an academic adviser for options),3,8
General Education Course,3,7
Supporting Course (consult with an academic adviser for options),3,8
