Course,Credits,Semester_Number
BBH 101*,3,1
BIOL 110*†,4,2
BIOL 161*†,3,1
BIOL 163*†,3,2
BIOL 162 (Recommended Basic Science Course for Health Professions)1,1,1
BIOL 164 (Recommended Basic Science Course for Health Professions)1,1,2
General Education Course (GWS) (ENGL 15|| ENGL 30H|| ESL 15|| ENGL/CAS 137H recommended)‡,3,1
HDFS 129||  229||  239|||| 249N†,3,2
General Education Course (GQ)‡,3,1
Health&&Developmental Science2,3,2
First Year Seminar,1-2,1
PSYCH 100*†,3,2
BBH 316*,3,3
BBH 301W|| PHIL  110||||PHIL  132 (Ethics),3,4
STAT 200|| 250*‡†,3-4,3
BBH 311*,3,4
Health&&Developmental Science2,3,3
NUTR 251†,3,4
Life Science*,3,3
General Education Course (GWS) (CAS 100A|| CAS 100B|| CAS 100C|| ENGL/CAS 138T recommended)‡,3,4
General Education Course (Integrative Studies: Inter-Domain),3,3
General Education Course (Integrative Studies: Inter-Domain),3,4
BBH 210|| BIOL  133||||BIOL  222†,3,5
Basic Science1,3,6
BBH 302*,3,5
BBH Additional 2XX-4XX level*5,3,6
BBH 310|| 310H*,3,5
University-Wide Offerings4,3,6
BBH Additional 2XX-4XX level*5,3,5
General Education Course (GWS) (ENGL 202A||202D preferred)‡,3,6
Health&&Developmental Science2,3,5
General Education Course (GH),3,6
BBH 440*,3,7
Basic Science1,1-3,8
BBH 411W*,3,7
BBH Additional 4XX level*5,3,8
Basic Science1,3,7
BBH Additional 4XX level*5,3,8
Health Promotion6,3,7
University-Wide Offerings4,5-6,8
University-Wide Offerings4,3,7
General Education Course (GA),3,8
