Course,Credits,Semester_Number
PSU 16,1.0,1
MICRB 2011,3.0,2
CHEM 110*#†,3.0,1
MICRB 202|| 203 (Consult with an academic adviser for options),2.0,2
CHEM 111*#†,1.0,1
CHEM 112*#†,3.0,2
MATH 140|| 140B*‡#†,4.0,1
CHEM 113†,1.0,2
ENGL 15|| 30H‡,3.0,1
MATH 141|| 141B‡†,4.0,2
General Education Course,3.0,1
CAS 100A||  100B|||| 100C‡,3.0,2
BMB 2511,3.0,3
BMB 2521,3.0,4
CHEM 202|| 210,3.0,3
CHEM 203|| 212&& 213,3.0,4
PHYS 250†,4.0,3
PHYS 251†,4.0,4
Department List C (Consult with an academic adviser for options),3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
BIOTC 4892,3.0,5
BIOTC 4592,3.0,6
BMB 211,3.0,5
BMB 221,2.0,6
MICRB 421W,3.0,5
BMB 442,3.0,6
Department List C (Consult with an academic adviser for options),3.0,5
BIOL 322,3.0,6
General Education Course,3.0,5
ENGL 202C||  202A||  202B|||| 202C‡,3.0,6
General Education Course (GHW),1.5,5
General Education Course (GHW),1.5,6
BIOTC 4162,2.0,7
MICRB 4102,3.0,8
BIOTC 4792,3.0,7
BIOTC 400-Level Lecture Selections (Consult with an academic adviser for options)2,3.0,8
BIOTC 400 Level Lecture Selections (Consult with an academic adviser for options)2,3.0,7
STAT 250,3.0,8
Department list C Free (Consult with an academic adviser for options),4.0,7
Department List C (Consult with an academic adviser for options),3.0,8
General Education Course,3.0,7
Department List C (Consult with an academic adviser for options),3.0,8
