Course,Credits,Semester_Number
PSU 16,1,1
CHEM 112H|| 112*#,3,2
CHEM 110H|| 110*#,3,1
CHEM 113*#,1,2
CHEM 111*#,1,1
MATH 141B|| 141*‡#†,4,2
MATH 140B|| 140*‡#†,4,1
General Education Course,3,2
ENGL 15||  30H||||ESL  15‡,3,1
PHYS 211†,4,2
CHEM 210H|| 210*#,3-4,3
CHEM 212H|| 212*,3,4
CHEM 227*,4,3
CHEM 213W|| 213M*,2,4
MATH 231,2,3
CHEM 310*,3,4
PHYS 212†,4,3
PHYS 213& PHYS 214†,4,4
General Education Course,3,3
CHEM 400,1,4
CHEM 316,1,5
CHEM 452*,3,6
CHEM 450*,3,5
CHEM 457*,2,6
CHEM 400 Level Selection (consult with&&academic adviser for options),3,5
General Elective Course,3,6
ENGL 202C||  202A||  202B|||| 202D‡,3,5
CAS 100A||  100B|||| 100C,3,6
General Education Course,3,5
STAT 401||MATH  250,3,6
Supporting course (consult with an academic adviser for options),3,5
General Education Course (GHW),1.5,6
CHEM 425W (or CHEM 400 level selection - consult with an academic adviser for options),4,7
CHEM 423W*,4,8
CHEM 400 Level Elective Selection (consult with an academic adviser for options),4,7
CHEM 400 Level Elective (consult with an academic adviser for options),3,8
General Education Course,3,7
General Education Course,3,8
Supporting course (consult with an academic adviser for options),3,7
Supporting course (consult with an academic adviser for options),3,8
Supporting course (consult with an academic adviser for options),3,7
Supporting course (consult with an academic adviser for options),3,8
