Course,Credits,Semester_Number
CE 100S (or other First Year Seminar)†,1.0,1
CHEM 111,1.0,2
CHEM 110 (GN)*#†,3.0,1
ECON 102|| 104 (GS)†,3.0,2
ENGL 15||  30H||||ESL  15 (GWS)‡†,3.0,1
MATH 141|| 141E (GQ)*‡#†,4.0,2
EDSGN 100*#,3.0,1
PHYS 211 (PHYS 211L&&PHYS 211R (GN))*#†,4.0,2
MATH 140|| 140E (GQ)*‡#†,4.0,1
General Education Course†,3.0,2
General Education Course†,3.0,1
General Education Course (GHW)†,1.5,2
CAS 100A|| 100B (GWS)‡†,3.0,3
CMPSC 200|| 201,3.0,4
EMCH 211*,3.0,3
EMCH 212*,3.0,4
GEOSC 1,3.0,3
EMCH 213||EMCH 213D*,3.0,4
MATH 251*,4.0,3
IE 424||STAT  401,3.0,4
PHYS 212 (PHYS 212L&&PHYS 212R (GN))*†,4.0,3
MATH 220,2.0,4
CE 310*,3.0,5
CE 321*,3.0,6
CE 332*,3.0,5
CE 335*,3.0,6
CE 336*,3.0,5
CE 337,1.0,6
CE 340*,3.0,5
CE 370*,3.0,6
CE 360*,3.0,5
Civil Engineering Technical Elective,3.0,6
ENGL 202C (GWS)‡†,3.0,7
Civil Engineering Capstone Design,3.0,8
Civil Engineering Technical Elective,3.0,7
Civil Engineering Technical Elective,3.0,8
Civil Engineering Technical Elective,3.0,7
Technical Elective,3.0,8
Technical Elective,3.0,7
Technical Elective,3.0,8
General Education Course†,3.0,7
General Education Course†,3.0,8
