Course,Credits,Semester_Number
ENGL 15 (or honors equivalent (GWS))*,3.0,1
CAS 100 (or honors equivalent (GWS))*,3.0,2
CAS 101N*,3.0,1
CAS Additional course (work with adviser)*,3.0,2
Quantification (GQ)*,3.0,1
Humanities (GH) + (US),3.0,2
Social&&Behavioral Sciences (GS) (FYS),3.0,1
Natural Sciences (GN),3.0,2
Elective,3.0,1
Supporting Course (work with adviser)*,3.0,2
CAS Additional course (work with adviser)*,3.0,3
CAS Additional course (work with adviser)*,3.0,4
Quantification (GQ)*,3.0,3
Natural Sciences (GN),3.0,4
Arts (GA) + (IL),3.0,3
Humanities (GH),3.0,4
Social&&Behavioral Sciences (GS),3.0,3
Supporting Course (work with adviser)*,3.0,4
Elective,3.0,3
Arts (GA),3.0,4
CAS 301*,3.0,5
CAS 303*,3.0,6
CAS 4XX-level course (work with adviser)*,3.0,5
CAS 311*,3.0,6
Natural Sciences (GN),3.0,5
Supporting Course (work with adviser)*,3.0,6
Supporting Course (work with adviser),3.0,5
ENGL 202A||  202B||  202C|||| 202D*,3.0,6
Elective,3.0,5
Elective,3.0,6
CAS 304*,3.0,7
CAS 4XX-level course (work with adviser)*,3.0,8
CAS 4XX-level course (work with adviser)*,3.0,7
CAS 4XX-level course (work with adviser)*,3.0,8
Supporting CAS course (work with adviser)*,3.0,7
Supporting Course (work with adviser)*,3.0,8
Health&&Wellness (GHW),1.5,7
Health&&Wellness (GHW),1.5,8
Elective,3.0,7
Elective,3.0,8
