Course,Credits,Semester_Number
MATH 140 (GQ)*‡#†,4,1
CMPSC 121|| 131 (GQ)*#,3,2
PHYS 211 (GN|| PHYSICS 211L & PHYSICS 211R)*‡#†,4,1
MATH 141 (GQ)*‡#†,4,2
CHEM 110 (GN)*#†,3,1
PHYS 212 (GN|| PHYSICS 212L & PHYSICS 212R)*†,4,2
General Education Course,3,1
ENGL 15 (GWS)*‡,3,2
First Year Seminar,1,1
General Education Course,3,2
CMPEN 270*1,4,3
CMPEN 331*,3,4
CMPSC 122|| 132*,3,3
CMPSC 221*,3,4
MATH 250*,3,3
EE 210*,4,4
MATH 220,2-3,3
MATH 231,2,4
PHYS 214,2,3
ECON 102|| 104 (GS)†,3,4
CMPEN 431*,3,5
CMPEN 362,3,6
CMPSC 311*,3,5
CMPSC 465*,3,6
EE 310*,4,5
CMPSC 473,3,6
STAT 418,3,5
EE 353*2,3,6
CMPSC 360*,3,5
ENGL 202C (GWS)*‡†,3,6
CMPEN 482W (Capstone Design),3,7
CMPEN Elective4,3,8
CMPEN Elective4,3,7
CMPSC/CMPEN Elective3,3,8
CAS 100A|| 100B*‡†,3,7
CMPSC/CMPEN Elective3,3,8
Department List (General Elective),3,7
Department List (General Elective),3,8
General Education Course,3,7
General Education Course,3,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
