Course,Credits,Semester_Number
GEOSC 1|| 20,3.0,1
MATH 111||  141|||| 141G,4.0,2
CHEM 110 (GN)†,3.0,1
Elective (2 cr needed if schedule MATH 111),0.0,2
MATH 83||  110||  140|||| 140G (GQ)*‡,4.0,1
CHEM 112,3.0,2
CHEM 111 (GN)†,1.0,1
CHEM 113,1.0,2
EMSC 100S (GWS)‡†1,3.0,1
PLSC 1 (GS)†,3.0,2
PHYS 211|| 250 (GN)†,4.0,3
STAT 200 (GQ)‡†,4.0,4
ECON 102 (GS)†,3.0,3
GEOSC 201||  202||  203|||| 204*,4.0,4
BIOL 110 (GN)†,4.0,3
PHIL 118||  133N||||METEO  133N (GH)†,3.0,4
GEOG 126|| 326 (GS)†,3.0,3
CED 201||EBF  200,3.0,4
General Education- Health&&Wellness (GHW),1.5,3
General Education- Health&&Wellness (GHW),1.5,4
GEOSC 201||  202||  203|||| 204*,4.0,5
EARTH 400,3.0,6
GEOG 364,3.0,5
Option elective,3.0,6
Option elective,3.0,5
Option elective,3.0,6
CAS 100||ENGL  202C‡†,3.0,5
Option elective,3.0,6
EARTH 402*,3.0,5
General education-Knowledge domain,3.0,6
EARTH 495,3.0,7
Option elective,3.0,8
EBF 472|| STAT  401||||GEOSC  210*,3.0,7
Option elective,3.0,8
GEOSC 450*,3.0,7
Option elective,3.0,8
Option elective,3.0,7
Option elective,3.0,8
General education-Knowledge domain,3.0,7
General Education-Knowledge domain,3.0,8
