Course,Credits,Semester_Number
EDPSY 101|| STAT  100||||STAT  200 (or GQ Selection)* †,3-4,1
Arts Selection,3,2
ENGL 15|| 30H* †,3,1
ECON 102*†,3,2
Natural Science Selection1,3,1
HIST 21*†,3,2
PLSC 1* †,3,1
Natural Science Selection1,3,2
EDUC 100,1,1
SOC 1||RSOC  11*†,3,2
GQ Selection*†,3-4,3
EDTHP 200*†,3,4
CAS 222N*†,3,3
Natural Science Selection1,3,4
EDTHP 115*†,3,3
Humanities Selection,3,4
SOC 5*†,3,3
CAS 100,,4
Arts Selection,3,3
PLSC 2||PLSC  10*†,3,4
Health&&Physical Activity,1.5,3
Health&&Physical Activity,1.5,4
EDTHP 420*,3,5
SOC 23|| 207*,3,6
Leadership|| Decision Making&&Ethics Selection*2,3,5
EDTHP 394*,3,6
EDTHP 400 Level Selection,3,5
Policy Problems&&Public Systems Selection*2,3,6
Major Related Course Selection*,3,5
EDTHP 400 Level Selection*,3,6
Policy Problems&&Public Systems Selection*2,3,5
Major Related Course Selection*,3,6
EDTHP 400 Level Selection*,3,7
Policy Problems&&Public Systems Selection*2,3,8
Policy Problems&&Public Systems Selection*2,3,7
EDTHP 400 Level Selection*,3,8
Policy Problems&&Public Systems Selection*2,3,7
Diversity&&Equity Selection*2,3,8
Diversity&&Equity Selection*2,3,7
Leadership|| Decision Making&&Ethics Selection*2,3,8
ENGL 202A|| 202B,3,7
Elective,3,8
