Course,Credits,Semester_Number
MATH 140|| 140G (GQ)*‡#†,4,1
MATH 141 (GQ)*‡#†,4,2
CHEM 110 (GN)*#†,3,1
ENGL 15||  30H||||ESL  15 (GWS)‡†,3,2
CHEM 111 (GN)*†,1,1
CHEM 112 (GN)*†,3,2
EMSC 100S (or CAS 100 by substitution) (GWS)‡†1,3,1
PHYS 211 (GN)*#†,4,2
ECON 102|| EBF  200||||ECON  14 (GS)†,3,1
General Education Knowledge Domain,3,2
PHYS 212 (GN)*,4,3
EE 211,3,4
CHEM 202|| 210,3,3
MATH 231*,2,4
MATH 251,4,3
CMPSC 200|| 201,3,4
General Education Knowledge Domain,3,3
General Education Knowledge Domain,3,4
General Education Knowledge Domain,3,3
PHIL 103 (GH)†,3,4
EME 301*,3,5
EGEE 304*,3,6
EME 303*,3,5
EGEE 437*,3,6
EGEE 302*,3,5
EGEE 430*,3,6
ENGL 202C (GWS)‡†,3,5
EGEE 451||ENVSE  470*,3,6
Material Science Elective from Approved Department List2,3,5
Fuel Science Elective from Approved Department List2,3,6
Professional Elective from Approved Department List2,3,7
EGEE 464W*,3,8
Fuel Science Elective from Approved Department List2,3,7
Energy Systems Elective from Approved Department List2,3,8
EGEE 441*,3,7
Technical Elective from Approved Department List2,3,8
EME 460||IE  302,3,7
Technical Elective from Approved Department List2||3,3,8
EGEE 411W*,3,7
Professional Elective from Approved Department List2,3,8
Technical Elective from Approved Department List2||3,3,7
Energy Systems Elective from Approved Department List2,3,8
