Course,Credits,Semester_Number
IST 140*#1,3.0,1
IST 242*#1,3.0,2
IST 110||CYBER  100*#,3.0,1
IST 220*#,3.0,2
MATH 110*‡,4.0,1
ECON 102|| 104*,3.0,2
ENGL 15|| 30H‡,3.0,1
CAS 100‡,3.0,2
General Education Selection,3.0,1
General Education Selection,3.0,2
IST 210*#,3.0,3
IST 256*,3.0,4
IST 230*,3.0,3
ACCTG 211*,4.0,4
Pick from Smeal College Business Fundamentals Certificate list*,3.0,3
Application Focus Selection1,3.0,4
Elective,3.0,3
General Education Selection,3.0,4
General Education Selection,3.0,3
STAT 200‡#,4.0,4
ETI 300W*,3.0,5
IST 302*,3.0,6
IST 301*,3.0,5
ETI 461*,3.0,6
BA 302*,3.0,5
IST 331||HCDD  264*,3.0,6
ENGL 202C|| 202D‡,3.0,5
Application Focus Selection1,3.0,6
General Education Selection1,3.0,5
General Education Selection1,3.0,6
IST 420*,3.0,7
IST 421*,3.0,8
IST 423|| 402*,3.0,7
Elective,3.0,8
ETI 435||  463||||IST  440W*,3.0,7
Application Focus Selection1,3.0,8
Application Focus Selection1,3.0,7
General Education Selection1,3.0,8
General Education Selection1,3.0,7
General Education Selection,1.5,8
General Education Selection,1.5,7
,,8
