Course,Credits,Semester_Number
BIOL 110†,4,1
CHEM 112†,3,2
CHEM 110†,3,1
CHEM 113†,1,2
CHEM 111†,1,1
MATH 140 (GQ)‡†,4,2
ENGL 15‡†,3,1
Supporting Course2,3,2
FDSC 150S (First-Year Seminar),2,1
General Education Course1,3,2
General Education Course1,3,1
General Education Course1,3,2
CHEM 202,3,3
BMB 211,3,4
FDSC 200*,3,3
BMB 212,1,4
FDSC 201*,1,3
ENGL 202C|| 202D‡†,3,4
MICRB 201,3,3
PHYS 250,4,4
MICRB 202,2,3
STAT 250 (GQ)‡†,3,4
General Education Course1,3,3
General Education Course1,3,4
FDSC 400*,3,5
CAS 100A|| 100B‡†,3,6
FDSC 408*,3,5
FDSC 405*,3,6
FDSC 409,2,5
FDSC 406W*,3,6
General Education Course1,3,5
FDSC 410,3,6
General Education Course1,3,5
Supporting Course2,3,6
FDSC 404,3,7
FDSC 414,3,8
FDSC 411,3,7
FDSC 415,3,8
FDSC 413,3,7
FDSC 417,3,8
FDSC 450,3,7
Supporting Course2,3,8
