Course,Credits,Semester_Number
BIOL 110 (GN)*#†,4,1
CAS 100A||  100B|||| 100C (GWS)‡,3,2
CHEM 110 (GN)*#†,3,1
CHEM 111 (GN),1,2
ENGL 15||  30H||||ESL  15 (GWS)‡,3,1
CHEM 112,3,2
MATH 140|| 140B (GQ)*‡#†,4,1
Global|| Social||&&Personal Awareness Course (from Department List),3,2
PSU 16 (FYS),1,1
Supporting Course (Consult with academic adviser for options),3,2
CHEM 113,1,3
BIOL 220W||  230W||  240W|||| 161&& 162,4,4
Life|| Mathematical||||Physical Science Course,3,3
Life|| Mathematical||||Physical Science Course,3,4
Teamwork&&Interpersonal Communication Course (from Department List),3,3
Integrative&&Applied Science Course (from Department List),3,4
Supporting Course (Consult with academic adviser for options),3,3
General Education Course (GA),3,4
PHYS 250|| 211 (GN)*#,4,5
PHYS 251|| 212,4,6
STAT 250|| 200 (GQ)‡,3-4,5
400-Level Life|| Mathematical||||Physical Science Course*,3,6
Life|| Mathematical||||Physical Science Course,3,5
ENGL 202C||  202A||  202B|||| 202D (GWS)‡,3,6
General Education Course (Integrative Studies),3,5
General Education Course (GH),3,6
Supporting Course (Consult with academic adviser for options),3,5
Supporting Course (Consult with academic adviser for options),3,6
PHYS 213 (or Supporting Course),2,7
400-Level Life|| Mathematical||||Physical Science Course*,3,8
PHYS 214 (or Supporting Course),2,7
400-Level Supporting Course,3,8
400-Level Life|| Mathematical||||Physical Science Course*,3,7
General Education Course (GHW),3,8
400-Level Supporting Course,3,7
General Education Course (Exploration),3,8
General Education Course (Integrative Studies),3,7
Supporting Course (Consult with academic adviser for options),3,8
