Course,Credits,Semester_Number
EMSC 100S (GWS)‡†1,3.0,1
General Education Foundation selection (GWS) (ENGL 15|| 30||||ESL 15)‡,3.0,2
General Education Foundation selection (GQ)‡,3.0,1
General Education Foundation selection (GQ) (STAT 200 preferred)‡,4.0,2
World Language level 1,4.0,1
World Language Level 2,4.0,2
General Education Knowledge Domain selection,3.0,1
General Education Knowledge Domain selection,3.0,2
GEOG 210||  220||  230|||| 260*,3.0,1
GEOG 220||  210||  230|||| 260*,3.0,2
World Language Level 3,4.0,3
General Education Foundation selection (GWS) (ENGL 202A|| ENGL 202B|| ENGL 202C|| ENGL 202D|| CAS 100A|| CAS 100B||||CAS 100C)‡,3.0,4
General Education Health&&Wellness (GHW),1.5,3
General Education Knowledge Domain selection,3.0,4
GEOG 230||  210||  220|||| 260*,3.0,3
General Education Knowledge Domain selection,3.0,4
GEOG 260||  210||  220|||| 230*,3.0,3
GEOG 301*,3.0,4
GEOG 364|| 308*,3.0,3
300-level GEOG selection*,3.0,4
General Education Knowledge Domain selection,3.0,5
General Education Knowledge Domain selection,3.0,6
General Education Knowledge Domain selection,3.0,5
General Education Knowledge Domain selection,3.0,6
General Education Knowledge Domain selection,3.0,5
BA Fields selection,3.0,6
300-level GEOG selection*,3.0,5
400-level GEOG selection*,3.0,6
300-level GEOG selection*,3.0,5
400-level GEOG selection*,3.0,6
BA Fields selection,3.0,7
General Education Health&&Wellness (GHW),1.5,8
BA Fields selection,3.0,7
BA World Cultures selection,3.0,8
400-level GEOG selection*,3.0,7
400-level GEOG engaged scholarship selection (GEOG 493|| 494|| 494H|| 495|| 495B|| 495G||||499)*,3.0,8
400-level GEOG selection*,3.0,7
Elective,3.0,8
