Course,Credits,Semester_Number
GLIS 101N*,3.0,1
GLIS 102N*,3.0,2
General Education Course,3.0,1
CAS 100|| CAS  100A|| CAS  100B|| CAS  100C|| ENGL  138T||||CAS  138T‡,3.0,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
General Education Course,3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
General Education Course,3.0,1
General Education Course (GQ)‡,3.0,2
Major Course from List*,3.0,3
Major Course from List*,3.0,4
General Education Course,3.0,3
World Language Level 4||Second World Language Level 1*,3.0,4
General Education Course,3.0,3
BA Requirement,3.0,4
World Language Level 3,4.0,3
General Education Course (GQ)‡,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
Major Course from List*,3.0,5
4XX Level Major Course*,3.0,6
World Language Level 5||Second World Language Level 2*,3.0,5
4XX Level Major Course*,3.0,6
General Education Course,3.0,5
ENGL 202A|| 202B‡,3.0,6
General Education Course,3.0,5
BA World Cultures Course,3.0,6
BA Requirement,3.0,5
BA Requirement,3.0,6
4XX Level Major Course*,3.0,7
4XX Level Major Course*,3.0,8
GLIS 400Y*,3.0,7
Elective,3.0,8
General Education Course (GHW),1.5,7
Elective,3.0,8
Writing Across the Curriculum Course,3.0,7
Elective,3.0,8
Elective,3.0,7
General Education Course (GHW),1.5,8
