Course,Credits,Semester_Number
ENGL 15||  15A|||| 30H‡,3.0,1
GD 102*#,3.0,2
GD 1S*#,1.0,1
Additional Course for Major (see list below)*1,3.0,2
GD 100*‡#,3.0,1
General Education Course,3.0,2
GD 101*#,3.0,1
General Education Course,3.0,2
GD 115N||AA  121*#,3.0,1
General Education Course,3.0,2
GD 200*,3.0,3
GD 202W*,3.0,4
GD 201*,3.0,3
GD 203*,3.0,4
IST 250*,3.0,3
IST 256*,3.0,4
Additional Course for Major (see list below)*1,3.0,3
PHOTO 202*,3.0,4
General Edcuation Course,3.0,3
General Education Course,3.0,4
CAS 100A||  100B|||| 100C‡,3.0,5
ENGL 202A||  202B||  202C|||| 202D‡,3.0,6
GD 300*,4.0,5
GD 302*,4.0,6
GD 301*,4.0,5
GD 303*,4.0,6
General Education Course,3.0,5
Additional Course for Major (see list below)*1,3.0,6
GD 400*,4.0,7
GD 402*,4.0,8
GD 495*,3.0,7
Additional Course for Major (see list below)*1,3.0,8
Elective,3.0,7
Elective,3.0,8
General Education Course,3.0,7
Elective,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
