Course,Credits,Semester_Number
ENGL 15||  30H||||ESL  15‡,3,1
ECON 102†,3,2
HM 101*†,3,1
HM 271,2,2
HM 202,1,1
HM 272*,2,2
HM 203,1,1
HM 355,3,2
General Education Course (GN),3,1
General Education Course (GH),3,2
General Education Course (Exploration),3,1
General Education Course (Exploration),3,2
HM 230*,3,3
HM 290W*,3,4
HM 235*,3,3
HM 336,3,4
HM Elective,3,3
HM 280*,3,4
HM 265W*,3,3
General Education Course (Exploration),3,4
STAT 100|| 200‡†,3-4,3
HM Elective,3,4
ENGL 202A||  202B||  202C|||| 202D (202D is preferred)‡,3,5
HM 330,3,6
HM 242*,3,5
HM 366,3,6
HM 350*‡†,3,5
NUTR 100†,3,6
General Education Course (Integrative Studies: Inter-Domain),3,5
HM Elective,3,6
HM Elective,3,5
General Education Course (GA),3,6
HM 430,3,7
HM 490,3,8
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡,3,7
HM 4921,1,8
HM Elective,3,7
HM Elective,3,8
HM 480,3,7
HM Elective,4,8
HM Elective,3,7
General Education Course (Integrative Studies: Inter-Domain),3,8
