Course,Credits,Semester_Number
HDFS 129||  129S|||| 101N*,3,1
HDFS 229||  239|||| 249N*,3,2
General Education Course (GWS)‡,3,1
General Education Course (GWS)‡,3,2
General Education Course (GS),3,1
General Education Course (GN),3,2
General Education Course (Integrative Studies: Inter-Domain),3,1
General Education Course (GH),3,2
First-Year Seminar,1-4,1
General Education Course (Exploration),3,2
HDFS 229||  239|||| 249N*,3,3
HDFS 301*,3,4
HDFS 216*,3,3
HDFS 311*,3,4
HDFS 200|| EDPSY  101||||STAT  200 (GQ)*‡†,3-4,3
HDFS 315||  315Y||||SOC  30*,3,4
Science&&Health Foundations*1,3,3
Science&&Health Foundations*1,3,4
General Education Course (Exploration),3,3
Elective,3,4
HDFS 312W*,3,5
BBH 407||SOC  451*,3,6
Diversity&&Development*1,3,5
HDFS Course in Advanced Development*1,3,6
Science&&Health Foundations*1,3,5
Science&&Health Foundations*1,3,6
General Education Course (GQ)‡,2-3,5
General Education Course (GWS)‡,3,6
General Education Course (GA),3,5
General Education Course (Exploration),3,6
Elective,3,5
Elective,3,6
HDFS Capstone*,3,7
HDFS Capstone*,12,8
