Course,Credits,Semester_Number
IST 110*#,3,1
IST 220*,3,2
IST 140|| CMPSC  101||||CMPSC  121*#,3,1
ECON 102|| 104,3,2
MATH 110|| 140*‡,4,1
ENGL 15||  30H||||ESL  15‡,3,2
World Language Level 1,4,1
General Education Course (GHW|| GN|| GA||||GS),3,2
General Education Course (GHW|| GN|| GA||||GS),3,1
World Language Level 2,4,2
IST 210*#,3,3
IST 240|| 242,3,4
IST 230*,3,3
STAT 200‡,4,4
World Language Level 3,4,3
CAS 100‡,3,4
General Education Course (GHW|| GN|| GA||||GS),3,3
General Education Course (GHW|| GN|| GA||||GS),3,4
General Education Course (GHW|| GN|| GA||||GS),3,3
General Education Course (GHW|| GN|| GA||||GS),3,4
IST 301*,3,5
IST 431*,3,6
IST 331*,3,5
IST 302|| 413,3,6
Support of Option,3,5
ENGL 202C|| 202D‡,3,6
Elective,3,5
World Cultures (IL),3,6
General Education Course (GHW|| GN|| GA||||GS),3,5
Support of Option,3,6
IST 402,3,7
IST 440W*,3,8
IST 432*,3,7
Support of Option 400 Level,3,8
Support of Option,3,7
General Education Course (GHW|| GN|| GA||||GS),3,8
World Cultures (IL),3,7
US Cultures||Elective (US),3,8
General Education Course (GHW|| GN|| GA||||GS),3,7
Elective,2,8
