Course,Credits,Semester_Number
IT 1,4,1
IT 2,4,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H (GWS)‡,3,1
CAS 100|| ENGL  138T||||CAS  138T (GWS)‡,3,2
General Education Quantification Course (GQ)‡,3,1
IT 130||  131||  225N|||| 240Q*,3,2
General Education Course (N),3,1
General Education Quantification (GQ) Course‡,3,2
General Education Course,3,1
General Health&&Wellness (GHW),3,2
IT 3,4,3
IT Education Abroad X99 Course||4XX Related in consultation with advising*1||2,3,4
General Education Course (N),3,3
IT Education Abroad X99 Course||4XX Related in consultation with advising*1||2,3,4
BA Fields,3,3
General Education Course,3,4
Elective (World Cultures),3,3
BA Fields,3,4
Elective (WAC),3,3
Elective,3,4
IT 301*,3,5
IT 320*,3,6
IT Additional Courses from List*1,3,5
IT Additional Courses from List*1,3,6
IT Additional Courses from List*1,3,5
400-Level IT Course from List*1,3,6
General Education Course,3,5
General Education Course,3,6
General Education Course,3,5
BA Fields,3,6
IT 415|| 490*,3,7
400-Level IT Course from List*1,3,8
400-Level IT Course from List*1,3,7
General Education Course,3,8
ENGL 202 (GWS)‡,3,7
Elective (IL),3,8
General Education Course,3,7
Elective,3,8
Elective (US),3,7
Elective,2,8
