Course,Credits,Semester_Number
KINES 101*#2,3,1
CHEM 101||  106||  110|||| 130*†,3-5,2
BIOL 161*†,3,1
KINES 100*#2,3,2
MATH 26*#2,3,1
STAT 200||  250||||SCM  200*‡#2,3-4,2
General Education Course (GWS) (ENGL 15|| ENGL 30H|| ESL 15|| ENGL/CAS 137H recommended)‡#2,3,1
General Education Course (GWS) (CAS 100|| CAS 100A|| CAS 100B|| CAS 100C|| ENGL/CAS 138T recommended)‡,3,2
General Education Course (GA),3,1
General Education Course (Integrative Studies: Inter-Domain),3,2
KINES 200*,3,3
KINES 201*,3,4
KINES 202*#2,3,3
BIOL 163*†,3,4
KINES 295B*#2,1,3
NUTR 251*†,3,4
KINES 321*,3,3
PHYS 250|| 150*,3-4,4
PSYCH 100*#†2,3,3
KINES 345*,3,4
General Education Course (Integrative Studies: Inter-Domain)#†1||2,3,3
KINES 267*,1,4
EDPSY 10*#†2,3,5
CI 280*†,3,6
KINES 341*,3,5
KINES 360*,3,6
KINES 350*,3,5
KINES 384*,3,6
KINES 367*,1,5
KINES 456*,4,6
KINES 368*,2,5
General Education Course (GWS) (ENGL 202A||202D suggested)‡,3,6
KINES 366*,3,7
KINES 495A*,12,8
