Course,Credits,Semester_Number
ENGL 15||  30H|||| 137H‡,3.0,1
CAS 100|| CAS  138T||||ENGL  138T‡,3.0,2
General Education Course (GA),3.0,1
LHR 100*,3.0,2
General Education Course (GS) - PSYCH 100 suggested,3.0,1
PSYCH 281||LHR  202*†1,3.0,2
General Education Course (GN - Inter-Domain),3.0,1
ECON 14||  102|||| 104 (GS)*†,3.0,2
First-Year Seminar (GH),3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course - STAT 200||SCM 200 (GQ)‡,4.0,3
General Education Course (GN),3.0,4
General Education Course (GA),3.0,3
General Education Course (GH - Inter-Domain),3.0,4
Supporting Course*,3.0,3
LHR 312*,3.0,4
LHR 201*,3.0,3
LHR 305*,3.0,4
Elective,3.0,3
Supporting Course*,3.0,4
ENGL 202A||  202B||  202C|||| 202D‡,3.0,5
LHR 4XX - Prescribed HR Option Course*2,3.0,6
LHR 304*,3.0,5
LHR 4XX*,3.0,6
LHR 4XX - Prescribed HR Option Course*2,3.0,5
Supporting Course*,3.0,6
Elective,3.0,5
General Education Course (GN),3.0,6
Elective,3.0,5
Elective,3.0,6
LHR 460*,3.0,7
AFAM/LHR/WMNST 136Y|| HIST  458Y||||LHR  458Y*,3.0,8
LHR 4XX - Prescribed HR Option Course*2,3.0,7
LHR 4XX*,3.0,8
LHR 4XX - Prescribed HR Option Course*2,3.0,7
LHR 4XX*,3.0,8
Elective,3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,2.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
