Course,Credits,Semester_Number
HORT 101*‡†,3,1
AGBM 101|| ECON  14|| ECON  102||||ECON  104†,3,2
ENGL 15||  30H||||ESL  15‡†,3,1
MATH 26‡†,3,2
AG 150,2,1
LARCH 60†,3,2
General Education Course,3,1
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡†,3,2
General Education Course,3,1
General Education Course,3,2
BIOL 127|| 110†,3-4,3
SOILS 101†,3,4
EDSGN 10,1,3
ACCTG 211,4,4
SPAN 1||  2|||| 105,4,3
HORT 220*,3,4
BA 250,3,3
ART 20†,3,4
HORT 137,3,3
General Education Coures (GHW),1.5,4
CHEM 101,2-3,5
HORT 464*,4,6
HORT 138*,3,5
HORT 408*,4,6
HORT 269*,3,5
PLANT 217,3,6
TURF 100|| 235,3,5
ENT 313||  314|| HORT  238|| PPEM  300||||PPEM  318,2-3,6
General Education Course (GHW),1.5,5
ENGL 202D‡†,3,6
HORT 466*,5,7
HORT 368*,4,8
HORT 131*,3,7
HORT 468*,2,8
HORT 410W,3,7
MKTG 220||AGBM 220,3,8
BLAW 243,3,7
Elective,3-6,8
