Course,Credits,Semester_Number
General Education Course (GWS)‡,3.0,1
Course in LATAM Related Topic*1,3.0,2
Course in LATAM Related Topic*1,3.0,1
HIST 178 (GH)*†,3.0,2
ANTH 45N (GS)*†,3.0,1
General Education Course,3.0,2
General Education Course (GQ)‡†,3.0,1
General Education Course (GQ)‡,3.0,2
SPAN 1†2,4.0,1
SPAN 2†2,4.0,2
General Education Course (GWS)‡,3.0,3
SPAN 131*,3.0,4
Course in LATAM Related Topic*2,3.0,3
PORT 1*,4.0,4
HIST 179 (GH)*†,3.0,3
General Education Course†,3.0,4
General Education Course†,3.0,3
General Education Course†,3.0,4
SPAN 3†2,4.0,3
SPAN 100†2,3.0,4
400 Level Course in LATAM Related Topic*1,3.0,5
400 Level Course in LATAM Related Topic*1,3.0,6
SPAN 200*,3.0,5
General Education Course (GWS)‡,3.0,6
General Education Course†,3.0,5
General Education Course†,3.0,6
BA Requirement†,3.0,5
Elective3,3.0,6
Elective3,3.0,5
Elective3,3.0,6
400 Level Course in LATAM Related Topic*1,3.0,7
Elective3,3.0,8
PLSC 456*,3.0,7
Elective3,3.0,8
BA World Cultures†1,3.0,7
Elective3,3.0,8
BA Requirement†,3.0,7
Elective3,3.0,8
General Education Course (GHW)†,1.5,7
General Education Course (GHW)†,1.5,8
