Course,Credits,Semester_Number
MATH 140|| 140G (GQ)*‡#†2,4,1
MATH 141|| 141G (GQ)*‡#†2,4,2
CHEM 110 (GN)*#†2,3,1
MATSE 112||CHEM  112 (GN)*#2,3,2
CHEM 111 (GN)*#†2,1,1
CHEM 113*#2,1,2
EMSC 100S (or CAS 100 by substitution) (GWS)‡†1,3,1
PHYS 211 (GN)*#†2,4,2
General Education Knowledge Domain (IL),3,1
ENGL 15||  30H||||ESL  15 (GWS)‡†,3,2
PHYS 212 (GN)†,4,3
MATH 251,4,4
CHEM 202,3,3
IE 424||STAT  4013,3,4
MATH 220*#2,3,3
MATSE 202*,3,4
MATH 231,2,3
MATSE 203||ENGL  202C (GWS)‡†,3,4
MATSE 201*,3,3
MATSE 413,3,4
MATSE 400*,3,5
MATSE 402*,3,6
MATSE 401*,3,5
MATSE 419,3,6
MATSE 430*,3,5
MATSE 492W (Writing Across the Curriculum)*,3,6
MATSE 436,3,5
MATSE 462,1,6
MATSE 460,1,5
MATSE Specialization Course 1 from Department List,3,6
General Education Knowledge Domain (US),3,5
General Education Knowledge Domain (Integrative),3,6
MATSE 493W|| 494W4,3-0 or 2,7
MATSE 493W|| 494W4,0-3 or 1,8
MATSE Specialization Course 2 from Department List,3,7
MATSE Specialization Course 3 from Department List,3,8
Technical Elective 1,3,7
MATSE Specialization Course 4 from Department List,3,8
Technical Elective 2,3,7
Technical Elective 3,3,8
MATSE Senior Processing Laboratory (can be taken fall||spring),0-1,7
Technical Elective 4,3,8
General Education Knowledge Domain,3,7
MATSE Senior Processing Laboratory (can be taken fall||spring),1-0,8
General Education Health&&Wellness (GHW),1.5,7
General Education Knowledge Domain,3,8
