Course,Credits,Semester_Number
ENGL 15|| 30H*#,3,1
CAS 100A*#†,3,2
MATH 200*#†,3,1
Earth Science Selection*†5,3,2
Biological Science Selection*#†5,3,1
Literature Selection*#†7,3,2
EDTHP 115*#†,3,1
EDPSY 14*#†,3,2
EDUC 100*,1,1
Media Selection*†6,3,2
Physical Science Selection*†5,3,3
CI 280*†,3,4
Writing Selection*†6,3,3
STAT 100||  200||||EDPSY  101*#†,3-4,4
SOC 119N*†,4,3
CI 295B*#†,3,4
American Literature Selection*†6,3,3
HDFS 239*#†,3,4
Comparative Literature Selection*†6,3,3
Health&&Physical Activity†,1.5,4
LLED 400*†,3,5
ENGL 202A|| 202B*†,3,6
LLED 401*†,3,5
LLED 450*†2 4,3,6
LLED 402*†,3,5
SPLED 403A*†,3,6
SPLED 400*†,4,5
Mathematics Selection*†,3,6
Media Selection*†6,3,5
British Literature Selection*† 6,3,6
MTHED 420*†1,3,7
CI 495D*†3,12,8
SCIED 458*†1,3,7
CI 495F*†3,3,8
