Course,Credits,Semester_Number
Applied Music - Primary Instrument*,2,1
Applied Music - Primary Instrument*,2,2
Ensemble (Supporting Course)*,1,1
Ensemble (Supporting Course)*,1,2
MUSIC 40*,1,1
MUSIC 122*,1,2
MUSIC 121*,1,1
MUSIC 132*,2,2
MUSIC 131*,2,1
MUSIC 162*,2,2
World Language,4,1
ENGL 15||  15A|||| 30H‡,3,2
General Education Course (GQ)‡,3,1
World Language,4,2
Applied Music - Primary Instrument*,2,3
Applied Music - Primary Instrument*,2,4
Ensemble (Supporting Course)*,1,3
Ensemble (Supporting Course)*,1,4
MUSIC 221*,1,3
MUSIC 222*,1,4
MUSIC 231*,2,3
MUSIC 261*,3,4
MUSIC 262*,3,3
MUSIC 270*,1,4
World Language,4,3
MUSIC 332*,2,4
General Education Course (GQ)‡,3,3
General Education Course,3,4
Elective,1,3
General Education Course (Inter-Domain),3,4
CAS 100A||  100B|||| 100C‡,3,5
400-Level Music Course*,3,6
400-Level Music Course*,3,5
400-Level Music Course*,3,6
BA Fields,3,5
ENGL 202A||  202B||  202C|||| 202D‡,3,6
General Education Course,3,5
General Education Course,3,6
General Education Course,3,5
General Education Course,3,6
400-Level Music Course*,3,7
MUSIC 101*,1,8
BA Fields,3,7
MUSIC 476W*,3,8
BA World Cultures,3,7
BA Fields,3,8
General Education Course,3,7
General Education Course,3,8
General Education Course,3,7
General Education Course,3,8
