Course,Credits,Semester_Number
CHEM 110 (GN)*#†,3.0,1
ENGL 15||  30H||||ESL  15 (GWS)‡†,3.0,2
CHEM 111 (GN),1.0,1
MATH 141|| 141E (GQ)*‡#†,4.0,2
ECON 102|| 104 (GS)†,3.0,1
NUCE 297 (or Other First-Year Seminar),1.0,2
EDSGN 100*#,3.0,1
PHYS 211 (GN)*#†,4.0,2
MATH 140|| 140E (GQ)*‡#†,4.0,1
General Education Course,3.0,2
General Education Course,3.0,1
General Education Course (GHW),1.5,2
CMPSC 200|| 201,3.0,3
CAS 100A|| 100B (GWS)‡†,3.0,4
EMCH 211,3.0,3
EMCH 212,3.0,4
MATH 251*,4.0,3
EMCH 213,3.0,4
PHYS 212 (GN)*†,4.0,3
MATH 230,4.0,4
General Education Course,3.0,3
PHYS 214,2.0,4
ENGL 202C (GWS)‡†,3.0,5
EE 212,3.0,6
NUCE 301*,4.0,5
EMCH 315,2.0,6
NUCE 309*,3.0,5
EMCH 316,1.0,6
NUCE 310W,2.0,5
NUCE 302*,4.0,6
NUCE 321,3.0,5
NUCE 322,3.0,6
NUCE 403,3.0,7
NUCE 431W,4.0,8
NUCE 420,3.0,7
Nuclear Engineering Elective (NETE),3.0,8
NUCE 430*,3.0,7
General Technical Elective (GTE),3.0,8
NUCE 451,3.0,7
General Education Course,3.0,8
Nuclear Engineering Elective (NETE),3.0,7
General Education Course,3.0,8
