Course,Credits,Semester_Number
ENGL 15||  30H|||| 137H‡,3.0,1
CAS 100A||  100B||  100C||  138T||||ENGL  138T‡,3.0,2
OLEAD 100*,3.0,1
OLEAD 201,3.0,2
PSYCH 100 (GS)*†,3.0,1
PSYCH 281||LHR  202 (GS)*†,3.0,2
World Language Level 1,4.0,1
World Language Level 2,4.0,2
First-Year Seminar/General Education Course (Exploration),3.0,1
General Education Course (GQ)‡,3.0,2
IST 110||PHIL  10*,3.0,3
LHR 312|| SOC  207|| LHR  437||||CAS  404*,3.0,4
OLEAD 210*,3.0,3
BA Fields Course,3.0,4
General Education Course (GA),3.0,3
General Education Course (GH),3.0,4
General Education Course (GQ)‡,3.0,3
General Education Course (GN),3.0,4
World Language Level 3,4.0,3
Elective (US),3.0,4
OLEAD 464*,3.0,5
PSYCH 484*,3.0,6
BA Fields Course,3.0,5
BA Fields Course,3.0,6
General Education Course (GN),3.0,5
General Education Course (Inter-Domain),3.0,6
Elective (IL),3.0,5
Elective/World Cultures Course,3.0,6
Elective,3.0,5
Elective,3.0,6
PHIL 119||LHR  460*,3.0,7
ENGL 202A||  202B||  202C|||| 202D‡,3.0,8
Writing Across the Curriculum Course (LHR 458Y suggested),3.0,7
OLEAD 465*,3.0,8
General Education Course (GHW),1.5,7
General Education Course (GHW),1.5,8
General Education Course (Inter-Domain),3.0,7
Elective,3.0,8
Elective,3.0,7
Elective,3.0,8
