Course,Credits,Semester_Number
ENGL 15||  30H|||| 137H‡,3.0,1
CAS 100A||  100B||  100C||  138T||||ENGL  138T‡,3.0,2
OLEAD 100*,3.0,1
OLEAD 201*,3.0,2
PSYCH 100*,3.0,1
PSYCH 281||LHR  202*†,3.0,2
First-Year Seminar/General Education Course (Exploration),3.0,1
General Education Course (GN),3.0,2
General Education Course (GA),3.0,1
General Education Course (GQ)‡,3.0,2
LHR 312*,3.0,3
General Education Course (Exploration)2,3.0,4
OLEAD 210*,3.0,3
General Education Course (Exploration)2,3.0,4
STAT 200||SCM  200 (GQ)‡,4.0,3
IST 110||PHIL  10*,3.0,4
General Education Course (GN),3.0,3
Elective (US)2,3.0,4
General Education Course (GS)1,3.0,3
Elective (Inter-Domain),3.0,4
CAS 404||LHR  437*,3.0,5
OLEAD 465*,3.0,6
OLEAD 464*,3.0,5
AFAM/LHR/WMNST 136|| OLEAD  220|| OLEAD  410|| OLEAD  411||||WMNST  105N*,3.0,6
PSYCH 484*,3.0,5
BA 100|| LHR  427|| LHR  460||||PHIL  119*,3.0,6
Elective (Inter-Domain)2,3.0,5
400-level Supporting Course*3,3.0,6
Elective (IL)2,3.0,5
Elective,3.0,6
ENGL 202A||  202B||  202C|||| 202D‡,3.0,7
400-level Supporting Course*3,3.0,8
400-level Supporting Course*3,3.0,7
400-level Supporting Course*3,3.0,8
400-level Supporting Course*3,3.0,7
General Education Course (GHW),1.5,8
General Education Course (GHW),1.5,7
Elective (Writing Across the Curriculum),3.0,8
Elective,3.0,7
Elective,3.0,8
