Course,Credits,Semester_Number
VBSC 50,3,1
ENGL 15||  30H||||ESL  15‡†,3,2
BIOL 110*#†,4,1
BIOL 230W*#,4,2
CHEM 110*#†,3,1
CHEM 112*#†,3,2
CHEM 111*#†,1,1
CHEM 113*#†,1,2
MATH 140*‡#†,4,1
MATH 141*‡#†,4,2
General Education Course,0-3,1
General Education Course||VBSC 190,1-3,2
BIOL 220W,4,3
BIOL 240W|| 141,3-4,4
PHYS 250,4,3
PHYS 251,4,4
CHEM 210,3,3
CHEM 212,3,4
CAS 100A||  100B|||| 100C‡†,3,3
CHEM 213,2,4
General Education Course (GHW),1.5,3
VBSC 230,3,4
General Education Course,0-3,3
General Education (GHW),1.5,4
BMB 211,3,5
BMB 221,2,6
BMB 212,1,5
ENGL 202C‡†,3,6
BBH/HPA 440,3,5
STAT 200|| 250,3-4,6
VBSC 331*,3,5
VBSC 496|| 395,0-3,6
General Education Course,3,5
General Education Course,3,6
VBSC 430*,3,7
VBSC/BMB 433*,3,8
VBSC/ERM 431*,3,7
VBSC 438*,3,8
VBSC 395|| 496,0-3,7
Supporting Course 400 Level||Elective*,3-6,8
Elective||400-level Supporting Courses*,3-6,7
General Education Course,3,8
General Education Course,3,7
VBSC 496|| 395,0-3,8
