Course,Credits,Semester_Number
GWS,3.0,1
GWS,3.0,2
First-Year Seminar,3.0,1
Philosophy (Foundation Course),3.0,2
Philosophy (Any Course),3.0,1
General Quantification,3.0,2
General Education Course,3.0,1
General Education Course,3.0,2
General Quantification,3.0,1
General Education Course,3.0,2
Philosophy (Foundation Course),3.0,3
Philosophy (Foundation Course),3.0,4
Philosophy Ethics&&Science Course,3.0,3
Formal Reasoning Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
Elective,3.0,3
Elective,3.0,4
Elective,3.0,3
Elective,3.0,4
Formal Reasoning Course,3.0,5
GWS,3.0,6
Philosophy Ethics&&Science Course,3.0,5
PHIL 12,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
Elective,3.0,5
Elective,3.0,6
Elective,3.0,5
Elective,3.0,6
Advanced PHIL Topics,3.0,7
Advanced PHIL Topics,3.0,8
Supporting Advanced PHIL,3.0,7
Supporting Advanced PHIL,3.0,8
General Education Course,3.0,7
General Education Course,3.0,8
Elective,4.5,7
Elective,4.5,8
General Health&&Wellness,1.5,7
General Health&&Wellness,1.5,8
