Course,Credits,Semester_Number
ASTRO 20,2.0,1
CHEM 110*‡#†,3.0,2
MATH 140*‡#†,4.0,1
CHEM 111†,1.0,2
ASTRO 1||  5|||| 6,3.0,1
MATH 141‡†,4.0,2
GEOSC 1*‡#†,3.0,1
ASTRO 120|| 130*‡#†,3.0,2
General Education Course,3.0,1
ENGL 15||  30H||||ESL  15‡,3.0,2
BIOL 110*‡#†,4.0,3
CAS 100|| CAS  100A|| CAS  100B||||CAS  100C‡,3.0,4
CHEM 112*†,3.0,3
CMPSC 201,3.0,4
CHEM 113†,1.0,3
EARTH 103N (consult with an academic adviser for alternative options),3.0,4
PHYS 211|| 250,4.0,3
General Education Course,3.0,4
ASTRO 140*‡#†,3.0,3
STAT 200*#,4.0,4
ASTRO 401*,4.0,5
ASTRO 402W*,3.0,6
ENGL 202C†‡,3.0,5
PHYS 212|| 251,4.0,6
EARTH 402 (consult with an academic adviser for alternative options),3.0,5
Supporting Course (consult with an academic adviser for options),3.0,6
GEOG 160 (consult with an academic adviser for alternative options),3.0,5
Advanced Elective (consult with an academic adviser for options),3.0,6
Supporting Course (consult with an academic adviser for options),3.0,5
General Education Course (GHW),1.5,6
ASTRO 120|| 130*#†,3.0,7
METEO 101 (consult with an academic adviser for alternative options)†,3.0,8
GEOSC/BIOL 474*,3.0,7
Advanced Elective (consult with an academic adviser for options),3.0,8
Advanced Elective,3.0,7
Supporting Course (consult with an academic adviser for options),3.0,8
Genearl Education Course,3.0,7
General Education Course,3.0,8
General Education Course,3.0,7
General Education Course,3.0,8
