Course,Credits,Semester_Number
BIOL 110 (GN)*†,4.0,1
BIOL 230W (Consult with adviser for alternative options)*,4.0,2
CHEM 110 (GN)*†,3.0,1
CHEM 112 (GN)*†,3.0,2
CHEM 111 (GN)*†,1.0,1
CHEM 113 (GN)*†,1.0,2
ENGL 15||  30H||||ESL  15 (GWS)*‡,3.0,1
MATH 141B|| 141 (GQ)*‡†,4.0,2
MATH 140B|| 140 (GQ)*‡†,4.0,1
General Education Course*†,3.0,2
PSU 16*,1.0,1
General Education Course (GHW)*,1.5,2
CHEM 210*,3.0,3
CAS 100A||  100B|||| 100C (GWS)*‡,3.0,4
BIOL 472 (Consult with an adviser for alternative options)*,3.0,3
CHEM 212*,3.0,4
PHYS 211*,4.0,3
PHYS 212*,4.0,4
STAT 250 (Consult with an adviser for alternative options)*,3.0,3
Supporting Course,3.0,4
General Education Course*†,3.0,3
General Education Course*,3.0,4
BMB 401*,3.0,5
BMB 402*,3.0,6
CHEM 213W*,2.0,5
ENGL 202C||  202A||  202B|||| 202D (GWS)*‡,3.0,6
PHIL/BIOET 432 (Consult with an adviser for alternative options)*,3.0,5
Supporting Course,2.0,6
PHYS 213*,2.0,5
General Education Course*,3.0,6
PHYS 214*,2.0,5
General Education Course*,3.0,6
General Education Course*,3.0,5
General Education Course (GHW)*,1.5,6
