Course,Credits,Semester_Number
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
PSYCH 100*#,3.0,1
PSYCH 2xx Level (Group A|| B|| C||Additional)*,3.0,2
General Education Course (GQ)*‡#†,3.0,1
World Language Level 2,4.0,2
World Language Level 1,4.0,1
General Education Course (GHW),1.5,2
First-Year Seminar/General Education Course,3.0,1
General Education Course (GS)*#,3.0,2
STAT 200||PSYCH  200*#,4.0,3
PSYCH 105*,3.0,4
PSYCH 2XX Level Course (Group A|| B|| C||Additional)*,3.0,3
PSYCH 2XX Level Course (Group A|| B|| C||||Additional)*,3.0,4
World Language Level 3,4.0,3
General Education Course (GQ)*‡,3.0,4
General Education Course (Integrative Studies),3.0,3
General Education Course (Integrative Studies),3.0,4
General Education Course (IL),3.0,3
General Education Course (US),3.0,4
BA Knowledge Domains Course,3.0,5
PSYCH 4XX Level Course*,3.0,6
PSYCH 4XX Level Course*,3.0,5
PSYCH 301W|| 301M (WAC)*,4.0,6
PSYCH 2XX Level Course (Group A|| B|| C||Additional)*,3.0,5
BA World Cultures Course,3.0,6
General Education Course,3.0,5
BA Knowledge Domains Course,3.0,6
Elective,3.0,5
Elective,3.0,6
ENGL 202A||  202B||  202C|||| 202D‡,3.0,7
PSYCH 4XX Level Course*,3.0,8
PSYCH 4XX Level Course*,3.0,7
PSYCH 490*,3.0,8
General Education Course,3.0,7
BA Knowledge Domain Course,3.0,8
Elective,3.0,7
General Education,3.0,8
Elective,1.0,7
Elective,3.0,8
