Course,Credits,Semester_Number
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H‡,3.0,1
CAS 100|| ENGL  138T||||CAS  138T‡,3.0,2
PSYCH 100*#,3.0,1
PSYCH 2XX Level (Group A|| B|| C||Additional)*,3.0,2
General Education Course (GQ)*‡#†,3.0,1
General Education Course (GHW),1.5,2
First-Year Seminar,3.0,1
General Education Course (GS)#*,3.0,2
Option Course*,3.0,1
STAT 200||PSYCH  200*#,4.0,2
PSYCH 2XX Level (Group A|| B|| C||Additional)*,3.0,3
PSYCH 105*,3.0,4
General Education Course (Integrative Studies),3.0,3
Option Course*,3.0,4
General Education Course (GQ)*‡†,3.0,3
PSYCH 2XX Level (Group A|| B|| C||Additional)*,3.0,4
General Education Course (IL),3.0,3
General Education Course (Integrative Studies),3.0,4
Option Supporting Course*,3.0,3
General Education Course (US),3.0,4
PSYCH 2XX Level (Group A|| B|| C||Additional)*,3.0,5
PSYCH 4XX Level Course*,3.0,6
PSYCH 4XX Level Course*,3.0,5
PSYCH 301W|| 300*,4.0,6
General Education Course,3.0,5
Option Course*,3.0,6
Elective,3.0,5
Option Supporting Course*,3.0,6
Option Course*,3.0,5
Elective,3.0,6
PSYCH 4XX Level Course*,3.0,7
PSYCH 4XX Level Course*,3.0,8
General Education Course,3.0,7
PSYCH 490*,3.0,8
ENGL 202A*‡,3.0,7
Option Course*,3.0,8
General Education Course,3.0,7
Option Supporting Course*,3.0,8
Elective,3.0,7
Elective,3.0,8
