Course,Credits,Semester_Number
PSU 6,1,1
MGMT 3011||2,3,2
(MATH 110||MATH 140)||(SCM 200||STAT 200) (GQ)1||2,4,1
(SCM 200||STAT 200)||(MATH 110||MATH 140) (GQ)1||2,4,2
ENGL 15||  30H|| ESL  15|| ENGL  137H||||CAS  137H1||2,3,1
World Language - Level Two (8th credit level)3,4,2
ECON 102 (GS)2,3,1
General Education Course (US)4,3,2
MKTG 3011||2,3,3
FIN 3011||2,3,4
ACCTG 2111||2,4,3
SCM 301,3,4
ECON 104,3,3
CAS 100|| ENGL  138T||||CAS  138T1,3,4
World Language - Level Three (12th credit level)3,4,3
MIS 250,3,4
General Education Course (IL)4,3,3
General Education Course4,3,4
RM 330W1,3,5
RM 4501,3,6
ENGL 202D1,3,5
RM 4751,3,6
BLAW 341||BA  342,3,5
BA 342||BLAW  341,3,6
General Education Course (N)4,3,5
General Education Course4,3,6
General Education Course4,3,5
General Education Course4,3,6
RM/FIN 4601,3,7
RM/FIN 4701,3,8
BA 411 (Real Estate Elective)1||6,3,7
BA 411 (or Real Estate Elective)1||6,3,8
Business Breadth Course5,3,7
Business Breadth Course5,3,8
General Education Course (N)4,3,7
General Education Course4,3,8
Elective 4,2,7
Elective Course4,3,8
