Course,Credits,Semester_Number
RPTM 101*,3,1
RPTM 210*,3,2
RPTM 120|| 120S,3,1
General Education Course (Integrative Studies: Inter-Domain),3,2
General Education Course (GWS) (ENGL 15|| ENGL 30H|| ESL 15||||ENGL/CAS 137H recommended)‡,3,1
General Education Course (GA),3,2
General Education Course (GH),3,1
General Education Course (Exploration),3,2
General Education Course (GN),3,1
General Education Course (GQ)‡,3,2
First Year Seminar,1-2,1
General Education Course (GHW),1.5,2
RPTM 236*,3,3
RPTM 220*,3,4
RPTM 277*,3,3
RPTM 390*,3,4
General Education Course (GQ)‡,3,3
RPTM 300Y*,3,4
General Education Course (Integrative Studies: Inter-Domain),3,3
General Education Course (Exploration),3,4
General Education Course (GS),3,3
General Education Course (Exploration),3,4
RPTM 456*,3,5
CAS 283||CMPSC  203‡,3-4,6
RPTM 370|| 435*,3,5
RPTM 410,3,6
Supporting Course in Consultation with Academic Adviser1,3,5
RPTM 394*,1,6
General Education Course (GWS) (CAS 100|| CAS 100A|| CAS 100B|| CAS 100C||||ENGL/CAS 138T recommended)‡,3,5
Elective||GQ (if CMPSC 203 not taken)‡1,3,6
Supporting Course in Consultation with Academic Adviser1,3,5
Supporting Course in Consultation with Academic Adviser1,3,6
RPTM 415*,3,7
RPTM 495A*,12,8
