Course,Credits,Semester_Number
ENGL 15*‡#,3,1
CHEM 110*#†,3,2
MATH 140|| 140B*‡#,4,1
CHEM 111*#†,1,2
BIOL 110*#†,4,1
MATH 141||  141B||||STAT  200*‡,4,2
PSYCH 100*#†,3,1
EDPSY 14*#,3,2
EDUC 100,1,1
Health&&Wellness*,1.5,2
EDTHP 115 (or 400-level EDTHP)*,3,1
BIOL 220W*#,4,2
BIOL 230W||BMB  251&&BMB  252*,4,3
CI 280*†,3,4
CAS 100A‡,3,3
HDFS 239||PSYCH  412*†,3,4
CHEM 112*#†,3,3
BIOL 240W*,4,4
CHEM 113*#,1,3
PHYS 250|| 211*#,4,4
Literature Selection*#†1,3,3
Health&&Wellness*,1.5,4
SPLED 400*,4,5
SCIED 411W*,3,6
PHYS 251|| 212*,4,5
BIOL 300-400 Level Selection*,3,6
ENGL 202A|| 202B*,3,5
SPLED 403B*,3,6
BIOL 427|| ANTH  21|| ANTH  460|| GEOSC  204||||GEOSC  424*,3-4,5
BMB 211/212||  401||  402|| CHEM  202|| CHEM  203|| CHEM  210|| CHEM  212||||CHEM  213*2,3,6
SCIED 412*,3,7
CI 495E*3,15,8
