Course,Credits,Semester_Number
SRA 111*#,3,1
SRA 211*#,3,2
IST 110*#,3,1
CAS 100‡,3,2
ENGL 15||  30H||||ESL  15‡,3,1
ECON 102||  104||||AGBM  101,3,2
IST 140*#,3,1
MATH 22||  26|| MATH 40|| MATH  41|| MATH  110||||MATH  140,3-5,2
General Education Course (GN|| GA|| GH||||GHW),3,1
General Education Course (GN|| GA|| GH||||GHW),3,2
SRA 221*,3,3
SRA 231*,3,4
STAT 200‡,4,3
PSYCH 100||SOC  5,3,4
SRA 268*,3,3
IST 210*#,3,4
PLSC 1||  14||||GEOG  128,3,3
US||IL||Elective,3,4
Supporting Course,3,3
Supporting Course,3,4
SRA 311W*,3,5
SRA 468*,3,6
SRA 365||STAT  460*,3,5
ENGL 202C|| 202D‡,3,6
US||IL||Elective,3,5
IST 432*,3,6
Supporting Course,3,5
General Education Course (GN|| GA|| GH||||GHW),3,6
General Education Course (GN|| GA|| GH||||GHW),3,5
General Education Course (GN|| GA|| GH||||GHW),3,6
IST 452*,3,7
SRA 433*,3,8
SRA 421*,3,7
SRA 440W*,3,8
400 Level Support of Option,3,7
Support of Option,3,8
General Education Course (GN|| GA|| GH||||GHW),3,7
General Education Course (GN|| GA|| GH||||GHW),3,8
General Education Course (GN|| GA|| GH||||GHW),3,7
Elective,1,8
