Course,Credits,Semester_Number
MATH 140 (GQ)*‡#†,4,1
MATH 141 (GQ)*‡#†,4,2
CMPSC 131*,3,1
CMPSC 132*#,3,2
PLSC 10 (GS)*†,3,1
PLSC 309*#,3,2
FYS (GH),3,1
IST 210*,3,2
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡,3,1
CAS 100|| CAS  100A|| CAS  100B|| CAS  100C|| CAS  138T||||ENGL  138T (GWS)‡,3,2
MATH 220*,2,3
DS 220*,3,4
STAT 184,2,3
CMPSC 360*,3,4
CMPSC 221*,3,3
STAT 318*,3,4
PLSC 1 (GS) (US)*†,3,3
PLSC any level (WAC)*,3,4
PLSC 3||  7N||  14|||| 17N*,3,3
General Education Course (IL),3,4
DS 300||  310|||| 330*,3,5
DS 300||  310|||| 330*,3,6
PLSC 400-level*1,3,5
PLSC 400-level*1,3,6
STAT 380*,3,5
Advanced Analytics*2,3,6
SODA 308*,3,5
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,6
General Education Course,3,5
Ethics (GH)*†3,3,6
SODA 496*,3,7
SODA 496*,3,8
DS 300||  310|||| 330*,3,7
PLSC 400-level*1,3,8
PLSC 400-level*1,3,7
Advanced Analytics*2,3,8
Advanced Analytics*2,3,7
General Education Course*,3,8
General Education Course,3,7
General Education Course (GHW),3,8
