Course,Credits,Semester_Number
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡†,3.0,1
CAS 100A||  100B||  100C||  138T||||ENGL  138T (GWS)‡†,3.0,2
General Education Course (GQ)‡,3.0,1
General Education Course (N),3.0,2
General Education Course (N),3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
SPAN 21,4.0,2
General Education Course (GQ)‡,3.0,3
General Education Course,3.0,4
General Education Course,3.0,3
General Education Course,3.0,4
General Education Course (GHW),1.5,3
SPAN 100||  100A||  100B||||SPAN 100C*,3.0,4
Applied Option Course*2,3.0,3
Applied Option Course*2,3.0,4
SPAN 3,4.0,3
Elective (US),3.0,4
SPAN 200|| 200A*,3.0,5
SPAN 253W*,3.0,6
SPAN 215*,3.0,5
200-||300-Level Course in SPAN*2,3.0,6
Applied Option Course*2,3.0,5
200-||300-Level Course in SPAN*2,3.0,6
Applied Option Course*2,3.0,5
Applied Option Course*2,3.0,6
General Education Course,3.0,5
General Education Course,3.0,6
ENGL 202 (GWS)‡,3.0,7
400-Level SPAN Course*2,3.0,8
General Education Course (GHW),1.5,7
400-Level SPAN Course*2,3.0,8
200-||300-level course in SPAN*2,3.0,7
400-Level SPAN Course*2,3.0,8
400-Level SPAN Literature*2,3.0,7
400-Level SPAN Course*2,3.0,8
400-Level SPAN Linguistics*2,3.0,7
400-Level Applied Option Course*2,3.0,8
