Course,Credits,Semester_Number
EDTHP 115*#†,3.0,1
EDPSY 10|| 11*#†,3.0,2
EDUC 100,1.0,1
EDPSY 101*#†,3.0,2
ENGL 15|| 30H*#,3.0,1
PSYCH 212*#†,3.0,2
MATH 200*#†,3.0,1
Literature Selection*#†1,3.0,2
PSYCH 100*#†,3.0,1
General Education Course (Inter-Domain),3.0,2
CI 280 (GH),3.0,3
CAS 100A*†,3.0,4
EDPSY 14*#,3.0,3
General Education Course (Inter-Domain),3.0,4
General Education Course (GN)†,3.0,3
General Education Course (GA),3.0,4
General Education Course (GHW),1.5,3
General Education Course (GHW),1.5,4
Minor/Elective,3.0,3
Minor/Elective,3.0,4
SPLED 395W*,3.0,5
SPLED 404*,3.0,6
SPLED 401*,4.0,5
SPLED 411*,3.0,6
SPLED 410*,3.0,5
SPLED 412*,3.0,6
SPLED 415*,3.0,5
SPLED 454*,3.0,6
SPLED 418*,3.0,5
SPLED 495E*,3.0,6
ENGL 202A|| 202B†,3.0,7
SPLED 495D,3.0,8
SPLED 409A*,3.0,7
SPLED 495F*2,12.0,8
