Course,Credits,Semester_Number
ENGL 15 (or Honors Equivalent (GWS))*,3,1
CAS 100 (or Honors Equivalent (GWS))*,3,2
WMNST 100||  106N||||WMNST 83S*,3,1
WMNST Course (Work with Adviser)*,3,2
General Education Course (GQ)*,3,1
General Education Course (GH) (US),3,2
General Education Course (GS) (FYS),3,1
General Education Course (GN),3,2
World Language Level 1,4,1
World Language Level 2,4,2
WMNST Course (Work with Adviser)*,3,3
WMNST 301N*,3,4
General Education Course (GQ)*,3,3
General Education Course (GN),3,4
General Education Course (GA) (IL),3,3
General Education Course (GS),3,4
BA Fields,3,3
General Education Course (GH),3,4
World Language Level 3,4,3
BA Fields,3,4
WMNST 400N|| 401*,3,5
WMNST Course (Work with Adviser)*,3,6
WMNST Course (Work with Adviser)*,3,5
WMNST Course (Work with Adviser)*,3,6
General Education Course (GN),3,5
BA Fields,3,6
General Education Course (GA),3,5
ENGL 202A||  202B||  202C|||| 202D*,3,6
Elective,3,5
Elective,3,6
WMNST 494||  495|||| 496*,3,7
WMNST 492W*,3,8
WMNST Course (Work with Adviser)*,3,7
WMNST Course (Work with Adviser)*,3,8
General Education Course (GHW),3,7
Elective,3,8
World Cultures,3,7
Elective,3,8
Elective,3,7
Elective,3,8
