Course,Credits,Semester_Number
EDUC 100,1.0,1
WFED 101*#†,1.0,2
ENGL 15*#†,3.0,1
CAS 100A*,3.0,2
Science Selection,3.0,1
EDTHP 115*#†,3.0,2
Humanities Selection,3.0,1
WFED 395A||  395B|||| 395C*,3.0,2
Mathematics Selection*#†,3.0,1
Literature Selection*#†1,3.0,2
Health&&Physical Activity,1.5,1
Mathematics Selection*#†,3.0,2
WFED 1,3.0,3
WFED 207W*,3.0,4
WFED 105*,3.0,3
WFED 442*,2.0,4
WFED 395A||  395B|||| 395C*,3.0,3
WFED 395A||  395B|||| 395C*,3.0,4
WFED 441*,2.0,3
ECON 102|| 104*#†,3.0,4
EDPSY 14*#†,3.0,3
Social&&Behavioral Science Selection,3.0,4
Science Selection†,3.0,3
Elective,3.0,4
WFED 106*,3.0,5
WFED 413*,3.0,6
WFED 323*,3.0,5
WFED 445*,3.0,6
WFED 395A||  395B|||| 395C*,3.0,5
WFED 395A||  395B|||| 395C*,3.0,6
ENGL 202A|| 202B*†,3.0,5
Science Selection,3.0,6
Art Selection,3.0,5
Elective,3.0,6
WFED 395A||  395B|||| 395C*,3.0,7
WFED 495C*,10.0,8
STS 245Z||WFED  450*,3.0,7
WFED 395A||  395B|||| 395C*,3.0,8
