Course,Credits,Semester_Number
EDUC 100,1,1
FR 202*#,3,2
ENGL 15*#†,3,1
HDFS 229*#†,3,2
FR 201*#,3,1
EDTHP 115*#,3,2
EDPSY 14*#,3,1
Science Selection†,3,2
Science Selection†,3,1
Art Selection†,3,2
HDFS 239||PSYCH  412*†,3,3
WLED 300*#,3,4
FR 331*†,3,3
CI 280*†,3,4
FR 316*†,3,3
FR 332*,3,4
CI 295*#,2,3
FR 351|| 352*#†,3,4
Mathematics Selection*#,3,3
Science Selection†,3,4
WLED 411*,3,5
Art Selection,3,6
WLED 495B*,3,5
FR 402Y*,3,6
SPLED 400*,4,5
FR 440||WLED  399A*,3,6
CAS 100A†,3,5
FR 401*,3,6
FR 417|| 418*,3,5
FR 137||  138N|||| 139*,3,6
WLED 412W*,3,7
CI 495E*1,15,8
