Year,Semester,Course,Credits
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,EDSGN 100*#,3
First Year,Fall,ECON 102 or  104 (GS)†,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,"PHYS 211 (GN, PHYSICS 211L & PHYSICS 211R)*#†",4
First Year,Spring,"PHYS 212 (GN, PHYSICS 212L & PHYSICS 212R)*†",4
First Year,Fall,AERSP 1 or  97 (or First Year Seminar)†,1
First Year,Spring,General Education Course†,3
Second Year,Fall,CMPSC 201,3
Second Year,Spring,CAS 100A or  100B (GWS)‡†,3
Second Year,Fall,EMCH 210,5
Second Year,Spring,EMCH 212*,3
Second Year,Fall,MATH 220,2
Second Year,Spring,EMCH 315,2
Second Year,Fall,MATH 250*,3
Second Year,Spring,EMCH 316,1
Second Year,Fall,General Education Course†,3
Second Year,Spring,MATH 230,4
Third Year,Fall,AERSP 301*,3
Third Year,Spring,AERSP 304,3
Third Year,Fall,AERSP 309*,3
Third Year,Spring,AERSP 305W†,3
Third Year,Fall,AERSP 311*,3
Third Year,Spring,AERSP 306*,3
Third Year,Fall,AERSP 313*,3
Third Year,Spring,AERSP 312,3
Third Year,Fall,ENGL 202C (GWS)‡†,3
Third Year,Spring,PHYS 214 (GN),2
Third Year,Fall,General Education Course (GHW)†,1.5
Third Year,Spring,General Education Course†,3
Fourth Year,Fall,AERSP 401A or  402A,3
Fourth Year,Spring,AERSP 401B or  402B,2
Fourth Year,Fall,AERSP 410,3
Fourth Year,Spring,"AERSP 424, EE  210, or EE  212",3
Fourth Year,Fall,AERSP 413 or  450,3
Fourth Year,Spring,AERSP Technical Elective,3
Fourth Year,Fall,AERSP Technical Elective,3
Fourth Year,Spring,Limited Elective,3
Fourth Year,Fall,General Technical Elective,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,General Education Course (GHW)†,1.5
Fourth Year,Spring,General Education Course†,3
