Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or ESL  15‡#†",3
First Year,Spring,"BIOL 220W,  230W, or  240W",4
First Year,Fall,General Education Course (GQ - MATH 21 recommended)‡#†,3
First Year,Spring,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡†",3
First Year,Fall,BIOL 110#†,4
First Year,Spring,EDTHP 115*#,3
First Year,Fall,AG 150,2
First Year,Spring,SOILS 101,3
First Year,Fall,AEE 100#,3
First Year,Spring,General Education Course (GHW),1.5
First Year,Fall,General Education Course (Literature Selection)#,3
First Year,Spring,General Education Course,3
Second Year,Fall,CHEM 130#,3
Second Year,Spring,ENGL 202C‡†,3
Second Year,Fall,AGRO 28,3
Second Year,Spring,STAT 200‡#†,4
Second Year,Fall,AGBM 101†,3
Second Year,Spring,Environmental Learning Course1,3
Second Year,Fall,EDPSY 14*#,3
Second Year,Spring,"Social, Legal, Political Aspects1",3
Second Year,Fall,Environmental Learning Course1,3
Second Year,Spring,General Education Course (GHW),1.5
Third Year,Fall,WFED 413,3
Third Year,Spring,ANSC 201,4
Third Year,Fall,AEE 311,3
Third Year,Spring,INTAG 100N†,3
Third Year,Fall,College Writing Across the Curriculum Course1,3
Third Year,Spring,WFED 414,3
Third Year,Fall,Environmental Impact Management1,3
Third Year,Spring,AEE 295*,1
Third Year,Fall,General Education Course,3
Third Year,Spring,AEE 349,3
Third Year,Fall,General Education Course,3
Third Year,Spring,Environmental Impact Management1,3
Fourth Year,Fall,AEE 412*,4
Fourth Year,Spring,AEE 313*,2
Fourth Year,Fall,AEE 413*,3
Fourth Year,Spring,AEE 495,10
