Year,Semester,Course,Credits
First Year,Fall,"ANTH 2N,  45N, or  21*",3
First Year,Spring,"ANTH 2N,  45N, or  21*",3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course (GWS)‡,3
First Year,Fall,General Education Course or First-Year Seminar,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,General Education Course,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course,3
First Year,Spring,Elective,3
Second Year,Fall,"ANTH 2N,  45N, or  21*",3
Second Year,Spring,ANTH Survey Course (200-Level and Below)*,3
Second Year,Fall,ANTH Survey Course (200-Level and Below)*,3
Second Year,Spring,Supporting Course (Archaeological)*1,3
Second Year,Fall,Supporting Course (Archaeolgical)*1,3
Second Year,Spring,General Education Course (GWS)‡,3
Second Year,Fall,STAT 200 (GQ)*‡†,4
Second Year,Spring,General Education Course,3
Second Year,Fall,General Education Course,3
Second Year,Spring,Elective,3
Third Year,Fall,ANTH Methods Course (ANTH 426W or ANTH 427W)*2,3
Third Year,Spring,ANTH Methods Course*2,3
Third Year,Fall,Supporting Course (Archaeological)*1,3
Third Year,Spring,ANTH (400-Level Archaeological Science Course)*,3
Third Year,Fall,ANTH (400-Level Archaeological Science Course)*,3
Third Year,Spring,ANTH (400-Level Biological Anthropology or Human Ecology Course)*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,ANTH Methods Course*2,3
Fourth Year,Spring,ANTH (400-Level Archaeological Science Course)*,3
Fourth Year,Fall,ANTH (400-Level Archaeological Science Course)*,3
Fourth Year,Spring,ANTH (400-Level Biological Anthropology or Human Ecology Course)*,3
Fourth Year,Fall,Supporting Course (Archaeological)*1,3
Fourth Year,Spring,Supporting Course (Archaeological)*1,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
