Year,Semester,Course,Credits
First Year,Fall,ANTH 45N or  21*,3
First Year,Spring,ANTH 21*,3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
First Year,Fall,ANTH 2N*,3
First Year,Spring,General Education Course (GQ)‡,3
First Year,Fall,General Education Course (GWS)‡,3
First Year,Spring,General Education Course,3
First Year,Fall,General Education Course or First-Year Seminar,3
First Year,Spring,General Education Course (GWS)‡,3
Second Year,Fall,ANTH Survey Course (200-Level and Below)*,3
Second Year,Spring,ANTH Survey Course (200-Level and Below)*,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,STAT 200 (GQ)*‡†,4
Second Year,Fall,General Education Course,3
Second Year,Spring,ANTH Methods Course*1,3
Second Year,Fall,General Education Course,3
Second Year,Spring,General Education Course,3
Second Year,Fall,Elective,3
Second Year,Spring,Elective,3
Third Year,Fall,ANTH Methods Course (ANTH 426W or ANTH 427W)*1,3
Third Year,Spring,ANTH (400-Level)*,3
Third Year,Fall,ANTH (400-Level)*,3
Third Year,Spring,BA Fields,3
Third Year,Fall,General Education Course (GWS)‡,3
Third Year,Spring,General Education Course,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,ANTH (400-Level)*,3
Fourth Year,Spring,ANTH (400-Level)*,3
Fourth Year,Fall,BA Fields,3
Fourth Year,Spring,BA Fields,3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective/World Cultures,3
