Year,Semester,Course,Credits
First Year,Fall,BBH 101*,3
First Year,Spring,BIOL 110*†,4
First Year,Fall,BIOL 161*†,3
First Year,Spring,BIOL 163*†,3
First Year,Fall,BIOL 162 (Recommended Basic Science Course for Health Professions)1,1
First Year,Spring,BIOL 164 (Recommended Basic Science Course for Health Professions)1,1
First Year,Fall,"General Education Course (GWS) (ENGL 15, ENGL 30H, ESL 15, ENGL/CAS 137H recommended)‡",3
First Year,Spring,"HDFS 129,  229,  239, or  249N†",3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,Health and Developmental Science2,3
First Year,Fall,First Year Seminar,1-2
First Year,Spring,PSYCH 100*†,3
Second Year,Fall,BBH 316*,3
Second Year,Spring,"BBH 301W, PHIL  110, or PHIL  132 (Ethics)",3
Second Year,Fall,STAT 200 or  250*‡†,3-4
Second Year,Spring,BBH 311*,3
Second Year,Fall,Health and Developmental Science2,3
Second Year,Spring,NUTR 251†,3
Second Year,Fall,Life Science*,3
Second Year,Spring,"General Education Course (GWS) (CAS 100A, CAS 100B, CAS 100C, ENGL/CAS 138T recommended)‡",3
Second Year,Fall,General Education Course (Integrative Studies: Inter-Domain),3
Second Year,Spring,General Education Course (Integrative Studies: Inter-Domain),3
Third Year,Fall,"BBH 210, BIOL  133, or BIOL  222†",3
Third Year,Spring,Basic Science1,3
Third Year,Fall,BBH 302*,3
Third Year,Spring,BBH Additional 2XX-4XX level*5,3
Third Year,Fall,BBH 310 or  310H*,3
Third Year,Spring,University-Wide Offerings4,3
Third Year,Fall,BBH Additional 2XX-4XX level*5,3
Third Year,Spring,General Education Course (GWS) (ENGL 202A or 202D preferred)‡,3
Third Year,Fall,Health and Developmental Science2,3
Third Year,Spring,General Education Course (GH),3
Fourth Year,Fall,BBH 440*,3
Fourth Year,Spring,Basic Science1,1-3
Fourth Year,Fall,BBH 411W*,3
Fourth Year,Spring,BBH Additional 4XX level*5,3
Fourth Year,Fall,Basic Science1,3
Fourth Year,Spring,BBH Additional 4XX level*5,3
Fourth Year,Fall,Health Promotion6,3
Fourth Year,Spring,University-Wide Offerings4,5-6
Fourth Year,Fall,University-Wide Offerings4,3
Fourth Year,Spring,General Education Course (GA),3
