Year,Semester,Course,Credits
First Year,Fall,BIOL 110*#,4
First Year,Spring,BIOL 230W*#,4
First Year,Fall,CHEM 110*#†,3
First Year,Spring,CHEM 112*†,3
First Year,Fall,CHEM 111†,1
First Year,Spring,CHEM 113†,1
First Year,Fall,"ENGL 15,  30H, or ESL  15‡",3
First Year,Spring,MATH 141B or  141‡†,4
First Year,Fall,MATH 140B or  140*‡#†,4
First Year,Spring,General Education Course,3
Second Year,Fall,BIOL 220W*#,4
Second Year,Spring,BIOL 240W*#,4
Second Year,Fall,CHEM 210 or  202,3
Second Year,Spring,CHEM 212 or  203,3
Second Year,Fall,"STAT 200,  240, or  250",3-4
Second Year,Spring,CHEM 213W (consult with an academic adviser for alternative options),2
Second Year,Fall,General Education Course,3
Second Year,Spring,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡",3
Second Year,Fall,Supporting course (consult with an academic adviser for options),3
Second Year,Spring,Supporting course (consult with an academic advisor for options),3
Third Year,Fall,BIOL 400 Level Selection (consult with an academic adviser for options),3
Third Year,Spring,BIOL 400 Level Selection (consult with an academic adviser for options),3
Third Year,Fall,Supporting course (consult with an academic adviser for options),3
Third Year,Spring,Supporting course (consult with an academic adviser for options),3
Third Year,Fall,PHYS 250 (consult with  an academic adviser for alternative options)†,4
Third Year,Spring,PHYS 251 (consult with an academic adviserfor alternative options),4
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Supporting course (consult with an academic adviser for options),3
Third Year,Spring,Supporting course (consult with an academic adviser for options),3
Fourth Year,Fall,BIOL 400 Level Selection (consult with an academic adviser for options),3
Fourth Year,Spring,BIOL 400 Level Selection (consult with an academic adviser for options),3
Fourth Year,Fall,BIOL 400 Level Selection (consult with an academic adviser for options),3
Fourth Year,Spring,BIOL 400 Level Selection (consult with an academic adviser for options),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,"ENGL 202C,  202A,  202B, or  202D",3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Supporting course (consult with an academic adviser for options),3
Fourth Year,Spring,Supporting course (consult with an academic adviser for options),3
