Year,Semester,Course,Credits
First Year,Fall,PSU 16,1
First Year,Spring,CHEM 112H or  112*#,3
First Year,Fall,CHEM 110H or  110*#,3
First Year,Spring,CHEM 113*#,1
First Year,Fall,CHEM 111*#,1
First Year,Spring,MATH 141B or  141*‡#†,4
First Year,Fall,MATH 140B or  140*‡#†,4
First Year,Spring,General Education Course,3
First Year,Fall,"ENGL 15,  30H, or ESL  15‡",3
First Year,Spring,PHYS 211†,4
Second Year,Fall,CHEM 210H or  210*#,3-4
Second Year,Spring,CHEM 212H or  212*,3
Second Year,Fall,CHEM 227*,4
Second Year,Spring,CHEM 213W or  213M*,2
Second Year,Fall,MATH 231,2
Second Year,Spring,CHEM 310*,3
Second Year,Fall,PHYS 212†,4
Second Year,Spring,PHYS 213& PHYS 214†,4
Second Year,Fall,General Education Course,3
Second Year,Spring,CHEM 400,1
Third Year,Fall,CHEM 316,1
Third Year,Spring,CHEM 452*,3
Third Year,Fall,CHEM 450*,3
Third Year,Spring,CHEM 457*,2
Third Year,Fall,CHEM 400 Level Selection (consult with and academic adviser for options),3
Third Year,Spring,General Elective Course,3
Third Year,Fall,"ENGL 202C,  202A,  202B, or  202D‡",3
Third Year,Spring,"CAS 100A,  100B, or  100C",3
Third Year,Fall,General Education Course,3
Third Year,Spring,STAT 401 or MATH  250,3
Third Year,Fall,Supporting course (consult with an academic adviser for options),3
Third Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,CHEM 425W (or CHEM 400 level selection - consult with an academic adviser for options),4
Fourth Year,Spring,CHEM 423W*,4
Fourth Year,Fall,CHEM 400 Level Elective Selection (consult with an academic adviser for options),4
Fourth Year,Spring,CHEM 400 Level Elective (consult with an academic adviser for options),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,General Education Course,3
Fourth Year,Fall,Supporting course (consult with an academic adviser for options),3
Fourth Year,Spring,Supporting course (consult with an academic adviser for options),3
Fourth Year,Fall,Supporting course (consult with an academic adviser for options),3
Fourth Year,Spring,Supporting course (consult with an academic adviser for options),3
