Year,Semester,Course,Credits
First Year,Fall,AGBM 101 or ECON  102,3
First Year,Spring,"ENGL 15,  30H, or ESL  15‡†",3
First Year,Fall,RSOC 11 or SOC  1,3
First Year,Spring,"MATH 22,  110, or  140‡†",3-4
First Year,Fall,AGSC 100,1
First Year,Spring,ECON 104†,3
First Year,Fall,CED 152*,3
First Year,Spring,GEOG 160 or  260†,3
First Year,Fall,Integrative Studies Course,3
First Year,Spring,CED 275,1
Second Year,Fall,CED 309*,3
Second Year,Spring,AGBM 106 or CMPSC  203‡†,3-4
Second Year,Fall,CED 230*,3
Second Year,Spring,CED 201*,3
Second Year,Fall,STAT 200,4
Second Year,Spring,CED 252,3
Second Year,Fall,General Education Course (Exploration),3
Second Year,Spring,CED 404,4
Second Year,Fall,General Education Course (GN),3
Second Year,Spring,"CAS 100A,  100B, or  100C‡†",3
Third Year,Fall,"ENGL 202A,  202B,  202C, or  202D‡†",3
Third Year,Spring,"CED 375,  400N, CEDEV  452, or RSOC  400N",3
Third Year,Fall,ERM 411 or BLAW 425,3
Third Year,Spring,Specialty Area Course,3
Third Year,Fall,AEE 460,3
Third Year,Spring,"PLSC 1,  3, or  14",3
Third Year,Fall,CED 327*,3
Third Year,Spring,Integrative Studies Course,3
Third Year,Fall,Specialty Area Course,3
Third Year,Spring,General Education Course (GN- No Interdomain),3
Fourth Year,Fall,CED 475,3
Fourth Year,Spring,CED 430W,3
Fourth Year,Fall,CED 417,3
Fourth Year,Spring,CED 409,3
Fourth Year,Fall,General Education Course (GA),3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Specialty Area Course,3
Fourth Year,Fall,Specialty Area Course,3
Fourth Year,Spring,Elective,2
