Year,Semester,Course,Credits
First Year,Fall,IST 140*,3
First Year,Spring,IST 220*#,3
First Year,Fall,CYBER 100S*#,3
First Year,Spring,SRA 111*,3
First Year,Fall,MATH 110*‡,4
First Year,Spring,STAT 200*‡#,4
First Year,Fall,"ENGL 15, CAS  100A, or CAS  100B (GWS)",3
First Year,Spring,"ENGL 15, CAS  100A, or CAS  100B (GWS)",3
First Year,Fall,General Education Course (GA/GH),3
First Year,Spring,General Education Course (GS)1,3
Second Year,Fall,IST 210*#,3
Second Year,Spring,IST 261 or  256*,3
Second Year,Fall,IST 242*#,3
Second Year,Spring,SRA 221*,3
Second Year,Fall,CYBER 262*,3
Second Year,Spring,SRA 211*,3
Second Year,Fall,General Education Course (GN),3
Second Year,Spring,IST 230*,3
Second Year,Fall,Application Focus Selection 1,3
Second Year,Spring,General Education Course (GN),3
Third Year,Fall,CYBER 362*,3
Third Year,Spring,CYBER 342W*,3
Third Year,Fall,SRA 231*,3
Third Year,Spring,SRA 311*,3
Third Year,Fall,SRA 365*,3
Third Year,Spring,CYBER 366*,3
Third Year,Fall,ENGL 202C or  202D‡,3
Third Year,Spring,Application Focus Selection 2,3
Third Year,Fall,General Education Course (GHW),1.5
Third Year,Spring,General Education Course (GA/GH),3
Third Year,Fall,General Education Course (GA/GH),3
Third Year,Spring,,
Fourth Year,Fall,IST 432*,3
Fourth Year,Spring,CYBER 440*,3
Fourth Year,Fall,IST 451*,3
Fourth Year,Spring,IST 454*,3
Fourth Year,Fall,IST 456*,3
Fourth Year,Spring,Application Focus Selection 3,3
Fourth Year,Fall,General Education Course (GN),3
Fourth Year,Spring,General Education Course (GA/GH),3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
