Year,Semester,Course,Credits
First Year,Fall,MATH 140 or  140G‡†,4
First Year,Spring,MATH 141 or  141G‡†,4
First Year,Fall,CHEM 110 (GN)†,3
First Year,Spring,CHEM 112,3
First Year,Fall,CHEM 111 (GN)†,1
First Year,Spring,CHEM 113,1
First Year,Fall,EMSC 100S (GWS)‡†1,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,Intro GEOSC/EARTH elective2,3
First Year,Spring,Intro GEOSC/EARTH elective2,3
Second Year,Fall,PHYS 211 (GN)†,4
Second Year,Spring,PHYS 212,4
Second Year,Fall,BIOL 110 (GN)†,4
Second Year,Spring,Intro GEOSC/EARTH elective2,3
Second Year,Fall,General Education knowledge domain,3
Second Year,Spring,General Education knowledge domain,3
Second Year,Fall,General Education knowledge domain,3
Second Year,Spring,Minor course*5,3
Second Year,Fall,Supporting Course3,3
Second Year,Spring,Advanced EARTH elective*4,3
Third Year,Fall,Advanced EARTH elective*4,3
Third Year,Spring,Advanced GEOSC/EARTH elective*4,3
Third Year,Fall,Intro GEOSC/EARTH elective2,3
Third Year,Spring,Intro GEOSC/EARTH elective2,3
Third Year,Fall,Supporting Course3,2
Third Year,Spring,Minor Course*5,3
Third Year,Fall,Minor course*5,3
Third Year,Spring,General Education knowledge domain,3
Third Year,Fall,General Education knowledge domain,3
Third Year,Spring,Supporting Course3,3
Fourth Year,Fall,Advanced EARTH elective*4,3
Fourth Year,Spring,Advanced EARTH elective*4,3
Fourth Year,Fall,General Education Foundation selection (GWS)‡,3
Fourth Year,Spring,EARTH Field/lab experience,3
Fourth Year,Fall,Minor Course*5,3
Fourth Year,Spring,Writing across the curriculum course in EMS,3
Fourth Year,Fall,General Education knowledge domain,3
Fourth Year,Spring,Minor Course*5,3
Fourth Year,Fall,General Education Health and Wellness (GHW),1.5
Fourth Year,Spring,Minor Course*5,3
