Year,Semester,Course,Credits
First Year,Fall,CHEM 110 (GN)*#†,3
First Year,Spring,CHEM 111,1
First Year,Fall,ECON 102 or  104 (GS)†,3
First Year,Spring,"ENGL 15,  30H, or ESL  15 (GWS)‡†",3
First Year,Fall,EDSGN 100*#,3
First Year,Spring,ESC 261M or CMPSC  201,3
First Year,Fall,MATH 140 or  140E (GQ)*‡#†,4
First Year,Spring,MATH 141 or  141E (GQ)*‡#†,4
First Year,Fall,General Education Course†,3
First Year,Spring,PHYS 211 (PHYS 211L & PHYS 211R (GN))*#†,4
Second Year,Fall,EMCH 210H*,5
Second Year,Spring,CAS 100A or  100B (GWS)‡†,3
Second Year,Fall,MATH 220,2-3
Second Year,Spring,EMCH 212H*,3
Second Year,Fall,MATH 251*,4
Second Year,Spring,ME 302,4
Second Year,Fall,PHYS 212 (PHYS 212L & PHYS 212R (GN))*†,4
Second Year,Spring,MATH 230,4
Second Year,Fall,General Education Course†,3
Second Year,Spring,PHYS 214,2
Third Year,Fall,EE 210,4
Third Year,Spring,ESC 409,1
Third Year,Fall,ESC 312,3
Third Year,Spring,Foundational Elective,3
Third Year,Fall,ESC 407*,3
Third Year,Spring,Foundational Elective,3
Third Year,Fall,ESC 414M*,3
Third Year,Spring,Foundational Elective,3
Third Year,Fall,ESC 433,1
Third Year,Spring,Foundational Elective,3
Third Year,Fall,General Education Course†,3
Third Year,Spring,Foundational Elective,3
Fourth Year,Fall,ENGL 202C (GWS)‡†,3
Fourth Year,Spring,ESC 411,2
Fourth Year,Fall,ESC 404*,3
Fourth Year,Spring,Technical Elective,3
Fourth Year,Fall,ESC 410,3
Fourth Year,Spring,Technical Elective,3
Fourth Year,Fall,Technical Elective,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,Technical Elective,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,General Education Course (GHW)†,1.5
Fourth Year,Spring,General Education Course (GHW)†,1.5
