Year,Semester,Course,Credits
First Year,Fall,"ENGL 15,  30H, or  137H‡",3
First Year,Spring,Concentration Course*,3
First Year,Fall,World Language Level 1,4
First Year,Spring,"CAS 100, ENGL  138T, or CAS  138T‡",3
First Year,Fall,General Education Course (GQ)‡,3
First Year,Spring,General Education Course†,3
First Year,Fall,General Education Course†,3
First Year,Spring,World Language Level 2,4
First Year,Fall,Elective,3
First Year,Spring,General Education Course†,3
Second Year,Fall,ENGL 200 or  201*,3
Second Year,Spring,Concentration Course*,3
Second Year,Fall,Concentration Course*,3
Second Year,Spring,Elective,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course†,3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,General Education Course†,3
Second Year,Fall,General Education Course†,3
Second Year,Spring,BA Requirement,3
Third Year,Fall,Concentration Course*,3
Third Year,Spring,ENGL 4XX*,3
Third Year,Fall,ENGL 4XX*,3
Third Year,Spring,Concentration Course*,3
Third Year,Fall,General Education Course,3
Third Year,Spring,"ENGL 202A,  202B,  202C, or  202D‡",3
Third Year,Fall,BA Requirement,3
Third Year,Spring,General Education Course,3
Third Year,Fall,Elective,3
Third Year,Spring,Elective,3
Fourth Year,Fall,ENGL 4XX*,3
Fourth Year,Spring,ENGL 4XX*,3
Fourth Year,Fall,Concentration Course*,3
Fourth Year,Spring,ENGL 487W*,3
Fourth Year,Fall,BA World Cultures,3
Fourth Year,Spring,General Education Course (GHW),1.5
Fourth Year,Fall,BA Requirement,3
Fourth Year,Spring,General Education Course†,3
Fourth Year,Fall,General Education Course (GHW),1.5
Fourth Year,Spring,Elective,3
