Year,Semester,Course,Credits
First Year,Fall,IST 140*#1,3
First Year,Spring,IST 242*#1,3
First Year,Fall,IST 110 or CYBER  100*#,3
First Year,Spring,IST 220*#,3
First Year,Fall,MATH 110*‡,4
First Year,Spring,ECON 102 or  104*,3
First Year,Fall,ENGL 15 or  30H‡,3
First Year,Spring,CAS 100‡,3
First Year,Fall,General Education Selection,3
First Year,Spring,General Education Selection,3
Second Year,Fall,IST 210*#,3
Second Year,Spring,IST 256*,3
Second Year,Fall,IST 230*,3
Second Year,Spring,ACCTG 211*,4
Second Year,Fall,Pick from Smeal College Business Fundamentals Certificate list*,3
Second Year,Spring,Application Focus Selection1,3
Second Year,Fall,Elective,3
Second Year,Spring,General Education Selection,3
Second Year,Fall,General Education Selection,3
Second Year,Spring,STAT 200‡#,4
Third Year,Fall,ETI 300W*,3
Third Year,Spring,IST 302*,3
Third Year,Fall,IST 301*,3
Third Year,Spring,ETI 461*,3
Third Year,Fall,BA 302*,3
Third Year,Spring,IST 331 or HCDD  264*,3
Third Year,Fall,ENGL 202C or  202D‡,3
Third Year,Spring,Application Focus Selection1,3
Third Year,Fall,General Education Selection1,3
Third Year,Spring,General Education Selection1,3
Fourth Year,Fall,IST 420*,3
Fourth Year,Spring,IST 421*,3
Fourth Year,Fall,IST 423 or  402*,3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,"ETI 435,  463, or IST  440W*",3
Fourth Year,Spring,Application Focus Selection1,3
Fourth Year,Fall,Application Focus Selection1,3
Fourth Year,Spring,General Education Selection1,3
Fourth Year,Fall,General Education Selection1,3
Fourth Year,Spring,General Education Selection,1.5
Fourth Year,Fall,General Education Selection,1.5
Fourth Year,Spring,,
