Year,Semester,Course,Credits
First Year,Fall,COMM 150N*#1,3
First Year,Spring,General Education Course (Exploration),3
First Year,Fall,COMM 160,1
First Year,Spring,General Education Course (GN),3
First Year,Fall,ENGL 15 (GWS)‡,3
First Year,Spring,General Education Course (Inter-Domain),3
First Year,Fall,General Education Course (GN),3
First Year,Spring,General Education Course (GS),3
First Year,Fall,World Language Level 1,4
First Year,Spring,World Language Level 2,4
Second Year,Fall,"COMM 242*#1,2",3
Second Year,Spring,COMM 333*3,3
Second Year,Fall,General Education Course (GH),3
Second Year,Spring,General Education Course (Inter-Domain),3
Second Year,Fall,General Education Course (GQ)‡,3
Second Year,Spring,IL Cultures,3
Second Year,Fall,BA World Cultures,3
Second Year,Spring,General Education Course (GQ)‡,3
Second Year,Fall,World Language Level 3,4
Second Year,Spring,General Education Course (Exploration),3
Third Year,Fall,"COMM 337,  338, or  339 (COMM 300-Level Production)*",3
Third Year,Spring,"COMM 337,  338, or  339 (COMM 300-Level Production)*",3
Third Year,Fall,COMM 340 or  342W*,3
Third Year,Spring,COMM 340 or  342W*,3
Third Year,Fall,"CAS 100A,  100B, or  100C (GWS)‡",3
Third Year,Spring,BA Knowledge Domain,3
Third Year,Fall,General Education Course (GA),3
Third Year,Spring,BA Knowledge Domain,3
Third Year,Fall,US Cultures,3
Third Year,Spring,Elective,3
Fourth Year,Fall,"COMM 438,  439, or  448 (COMM 400-Level Production)*4",3
Fourth Year,Spring,"COMM 346,  437,  437A,  438,  440,  444,  445,  446, or  449 (COMM 400-Level Additional)*4",3
Fourth Year,Fall,"COMM 346,  440,  443,  444, or  445 (COMM 400-Level Additional)*",3
Fourth Year,Spring,"COMM 346,  437,  437A,  438,  440,  444,  445, or  446 (COMM 400-Level Additional)*",3
Fourth Year,Fall,"ENGL 202A,  202B,  202C, or  202D (GWS)‡",3
Fourth Year,Spring,Elective,3
Fourth Year,Fall,Elective,3
Fourth Year,Spring,Elective,1
Fourth Year,Fall,BA Knowledge Domain,3
Fourth Year,Spring,General Education Course (GHW),3
